param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt
h00_r30_t1,1704412800000000000,1,1704414680000000000,1704415315000000000,127,2030.3605,2032.1734999999999,2028.5475000000001,2032.1734999999999,1.8129999999998745,0.08930658339266373,tp,1.8129999999998745,1.8129999999998745,3.485999999999749,Friday,2024-01-05,0,30,1.0
h01_r60_t3,1704412800000000000,1,1704420000000000000,1704422960000000000,592,2034.6225,2043.5835000000002,2031.6354999999999,2043.5835000000002,2.98700000000008,0.1468258074252018,tp,8.96100000000024,2.98700000000008,17.78200000000048,Friday,2024-01-05,1,60,3.0
h02_r15_t3,1704412800000000000,1,1704420900000000000,1704491870000000000,14172,2039.6464999999998,2040.859,2034.3915000000002,2055.411499999999,5.254999999999654,0.2577004246049548,session_end,1.212500000000091,5.254999999999654,2.2850000000001818,Friday,2024-01-05,2,15,3.0
h04_r30_t3,1704412800000000000,1,1704429135000000000,1704442750000000000,2723,2042.6075,2040.4705,2040.4705,2049.0185000000006,2.137000000000171,0.10466796085311347,sl,-2.137000000000171,2.137000000000171,-4.414000000000342,Friday,2024-01-05,4,30,3.0
h05_r60_t2,1704412800000000000,1,1704434775000000000,1704441675000000000,1380,2045.0495,2041.5535,2041.5535,2052.0415000000003,3.4960000000000946,0.1710393994834128,sl,-3.4960000000000946,3.4960000000000946,-7.132000000000189,Friday,2024-01-05,5,60,2.0
h06_r60_t3,1704412800000000000,-1,1704438185000000000,1704454450000000000,3253,2042.4895000000001,2046.2505,2046.2505,2031.2065000000002,3.7609999999999673,0.18410143837508905,sl,-3.7609999999999673,3.7609999999999673,-7.661999999999934,Friday,2024-01-05,6,60,3.0
h13_r30_t3,1704412800000000000,1,1704462120000000000,1704464150000000000,406,2049.9995,2045.8645000000001,2045.8645000000001,2062.404499999999,4.1349999999997635,0.20182018870552546,sl,-4.1349999999997635,4.1349999999997635,-8.409999999999528,Friday,2024-01-05,13,30,3.0
h14_r15_t2,1704412800000000000,-1,1704464100000000000,1704468260000000000,832,2046.5675,2050.6985,2050.6985,2038.3055000000004,4.130999999999858,0.20184178799282523,sl,-4.130999999999858,4.130999999999858,-8.401999999999717,Friday,2024-01-05,14,15,2.0
h00_r30_t1,1704672000000000000,-1,1704673950000000000,1704675500000000000,309,2066.8035,2064.0964999999997,2069.5105000000003,2064.0964999999997,2.7070000000003347,0.1309045786862652,tp,2.7070000000003347,2.7070000000003347,5.27400000000067,Monday,2024-01-08,0,30,1.0
h01_r60_t3,1704672000000000000,1,1704680455000000000,1704758395000000000,14796,2064.8615,2077.908,2057.7255,2086.2695,7.135999999999967,0.3459936663182956,session_end,13.046499999999924,7.135999999999967,25.952999999999847,Monday,2024-01-08,1,60,3.0
h02_r15_t3,1704672000000000000,1,1704680160000000000,1704682790000000000,526,2063.1365,2071.5485000000003,2060.3325,2071.5485000000003,2.8040000000000873,0.13595418479732996,tp,8.412000000000262,2.8040000000000873,16.684000000000523,Monday,2024-01-08,2,15,3.0
h04_r30_t3,1704672000000000000,-1,1704692510000000000,1704699795000000000,1453,2069.3225,2073.0235000000002,2073.0235000000002,2058.2195,3.701000000000022,0.17859447930251265,sl,-3.701000000000022,3.701000000000022,-7.542000000000043,Monday,2024-01-08,4,30,3.0
h05_r60_t2,1704672000000000000,-1,1704693600000000000,1704699200000000000,1116,2067.7794999999996,2072.3745,2072.3745,2058.589499999999,4.595000000000255,0.22216103459839037,sl,-4.595000000000255,4.595000000000255,-9.33000000000051,Monday,2024-01-08,5,60,2.0
h06_r60_t3,1704672000000000000,1,1704699200000000000,1704711025000000000,2363,2072.2995,2067.5125,2067.5125,2086.660500000001,4.787000000000262,0.23126156881530557,sl,-4.787000000000262,4.787000000000262,-9.714000000000524,Monday,2024-01-08,6,60,3.0
