param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,year,ehour,scale,pnl_vt
h04_r30_t3,1778025600000000000,1,1778043855000000000,1778057410000000000,2711,4653.8240000000005,4684.526000000002,4643.59,4684.526000000002,10.234000000000378,0.21996359875407792,tp,30.702000000001135,10.234000000000378,61.26400000000227,Wednesday,2026-05-06,4,30,3.0,2026,5,0.6455126061322065,39.54668430208496
h05_r60_t2,1778025600000000000,1,1778047255000000000,1778058010000000000,2151,4664.045,4702.9169999999995,4644.609,4702.9169999999995,19.435999999999694,0.41682599316255453,tp,38.87199999999939,19.435999999999694,77.60399999999878,Wednesday,2026-05-06,5,60,2.0,2026,6,0.6455126061322065,50.094360286282964
h06_r60_t3,1778025600000000000,1,1778050800000000000,1778058020000000000,1444,4669.791,4708.152000000001,4657.004,4708.152000000001,12.787000000000262,0.27385812491460565,tp,38.361000000000786,12.787000000000262,76.58200000000157,Wednesday,2026-05-06,6,60,3.0,2026,7,0.6455126061322065,49.434646402817656
h13_r30_t3,1778025600000000000,1,1778074355000000000,1778111995000000000,6748,4692.621,4699.005,4668.722,4764.318000000001,23.899000000000342,0.5100744996045229,session_end,6.3840000000000146,23.899000000000342,12.628000000000029,Wednesday,2026-05-06,13,30,3.0,2026,13,0.6455126061322065,8.151533190237522
h14_r15_t2,1778025600000000000,1,1778076920000000000,1778080150000000000,646,4712.607,4697.491,4697.491,4742.839,15.115999999999985,0.3208691912508589,sl,-15.115999999999985,15.115999999999985,-30.37199999999997,Wednesday,2026-05-06,14,15,2.0,2026,14,0.6455126061322065,-19.60550887344736
h00_r30_t1,1778112000000000000,-1,1778113875000000000,1778116215000000000,468,4689.942,4701.448,4701.448,4678.436,11.506000000000313,0.24519001586937958,sl,-11.506000000000313,11.506000000000313,-23.152000000000626,Thursday,2026-05-07,0,30,1.0,2026,0,0.6582637857118773,-15.240123166801794
h02_r15_t3,1778112000000000000,-1,1778120115000000000,1778135475000000000,3072,4703.505,4718.68,4718.68,4657.98,15.175000000000182,0.322573856659023,sl,-15.175000000000182,15.175000000000182,-30.490000000000364,Thursday,2026-05-07,2,15,3.0,2026,2,0.6582637857118773,-20.070462826355378
h04_r30_t3,1778112000000000000,-1,1778128385000000000,1778130175000000000,358,4695.019,4701.191,4701.191,4676.5030000000015,6.171999999999571,0.1313982674674234,sl,-6.171999999999571,6.171999999999571,-12.483999999999142,Thursday,2026-05-07,4,30,3.0,2026,4,0.6582637857118773,-8.217765100826512
h05_r60_t2,1778112000000000000,1,1778133740000000000,1778135525000000000,357,4706.737999999999,4730.531999999997,4694.841,4730.531999999997,11.896999999999025,0.2530554580065352,tp,23.79399999999805,11.896999999999025,47.4479999999961,Thursday,2026-05-07,5,60,2.0,2026,6,0.6582637857118773,31.233300104454585
h06_r60_t3,1778112000000000000,1,1778137925000000000,1778174800000000000,7375,4750.46,4701.357,4701.357,4897.769,49.103000000000065,1.0360694727593691,sl,-49.103000000000065,49.103000000000065,-98.34600000000013,Thursday,2026-05-07,6,60,3.0,2026,7,0.6582637857118773,-64.73761026962036
