param,trades_tr,net_tr,exp_tr,win_rate_tr,pf_tr,trades_ho,net_ho,exp_ho,win_rate_ho,pf_ho,hour,rng,tgt,both
h03_r60_t3,385,-433.1350000000333,-1.1250259740260604,29.61038961038961,0.972653952718708,252,2001.5600000000354,7.942698412698554,26.984126984126984,1.0796798570065134,3,60,3,False
h04_r15_t1,319,-398.2150000000669,-1.248322884012749,47.64890282131661,0.9131973432673665,244,-2501.89499999996,-10.253668032786722,44.26229508196721,0.7355278117073529,4,15,1,False
h04_r15_t2,319,267.9300000000139,0.8399059561128962,33.85579937304075,1.0459685513549712,244,-1830.3699999999485,-7.501516393442412,30.737704918032787,0.8422814078752052,4,15,2,False
h04_r15_t3,319,1250.6250000000014,3.92045454545455,27.586206896551722,1.1963754643921534,244,-2201.0599999999345,-9.020737704917764,23.36065573770492,0.8298893499415377,4,15,3,False
h04_r30_t1,370,-181.71500000003718,-0.4911216216217221,50.27027027027027,0.9710170470132583,252,-765.3699999999446,-3.03718253968232,47.61904761904761,0.9325557643994373,4,30,1,False
h04_r30_t2,370,173.86499999995354,0.46990540540527986,34.86486486486486,1.0210370485092881,252,2233.3850000000753,8.862638888889187,36.11111111111111,1.160391609797791,4,30,2,True
h04_r30_t3,370,1802.9949999999606,4.872959459459353,28.37837837837838,1.201652142937425,252,2312.8600000000815,9.178015873016196,28.174603174603174,1.1454954236623398,4,30,3,True
h04_r60_t1,382,-238.36000000002096,-0.6239790575916779,51.57068062827225,0.9737481903421383,253,2837.694999999959,11.216185770750824,53.359683794466406,1.2120780916899079,4,60,1,False
h04_r60_t2,382,676.540000000045,1.771047120418966,35.86387434554974,1.0578923633662736,253,6740.375000000028,26.641798418972442,39.52569169960474,1.3901593283844513,4,60,2,True
h04_r60_t3,382,1302.030000000043,3.4084554973823113,27.748691099476442,1.101808744716157,253,3563.0149999999376,14.083063241106473,29.249011857707508,1.1752676842282832,4,60,3,True
h05_r15_t1,335,1579.0350000000265,4.713537313432915,55.223880597014926,1.3754757248078495,247,3817.4000000000474,15.455060728745131,57.89473684210527,1.4930270522990514,5,15,1,True
h05_r15_t2,335,2123.7400000000093,6.33952238805973,37.61194029850746,1.3517570128132137,247,3987.169999999942,16.142388663967377,37.65182186234818,1.3473242927173394,5,15,2,True
h05_r15_t3,335,2768.089999999998,8.26295522388059,28.955223880597014,1.3995473483577339,247,6351.7700000000195,25.71566801619441,30.364372469635626,1.498816524366877,5,15,3,True
h05_r30_t1,372,2137.6900000000087,5.7464784946236795,56.72043010752689,1.346710717315184,253,5007.950000000011,19.7942687747036,57.70750988142292,1.4416588653892708,5,30,1,True
h05_r30_t2,372,2277.840000000012,6.123225806451645,37.634408602150536,1.2534749539584618,253,7152.560000000009,28.270988142292524,40.316205533596836,1.4505735512236881,5,30,2,True
h05_r30_t3,372,2270.739999999989,6.104139784946207,26.881720430107524,1.2189401543266112,253,9730.740000000029,38.4614229249013,30.8300395256917,1.5468140948175473,5,30,3,True
h05_r60_t1,384,967.0849999999866,2.5184505208332983,52.083333333333336,1.081454410385492,248,2303.800000000058,9.289516129032492,52.41935483870967,1.1100779260741556,5,60,1,True
h05_r60_t2,384,3585.899999999959,9.338281249999893,39.32291666666667,1.2479741756668687,248,5591.850000000097,22.547782258064906,37.903225806451616,1.2151995286418968,5,60,2,True
h05_r60_t3,384,2618.5199999999995,6.8190624999999985,31.25,1.1662299605869453,248,7253.985000000103,29.249939516129448,33.064516129032256,1.2599738377041727,5,60,3,True
h06_r15_t1,370,799.7999999999917,2.161621621621599,54.864864864864856,1.1171485360827156,255,2265.820000000071,8.88556862745126,53.72549019607843,1.1880400044150639,6,15,1,True
h06_r15_t2,370,645.9300000000762,1.7457567567569627,37.2972972972973,1.0683132002597537,255,4613.520000000039,18.0922352941178,40.0,1.28884189832822,6,15,2,True
h06_r15_t3,370,1396.5650000000217,3.7745000000000584,28.91891891891892,1.1328763512986384,255,1963.5300000000184,7.700117647058896,28.627450980392155,1.1035036791081796,6,15,3,True
h06_r30_t1,382,831.7350000000506,2.177316753926834,52.879581151832454,1.0845465357404303,254,4720.04500000013,18.582854330709175,53.54330708661418,1.3149944259197988,6,30,1,True
h06_r30_t2,382,2662.540000000076,6.970000000000199,37.95811518324607,1.2102657917108812,254,5784.555000000158,22.773838582677786,38.582677165354326,1.279783449813951,6,30,2,True
h06_r30_t3,382,3672.1350000001257,9.612918848167869,29.84293193717277,1.2630565300021805,254,4868.310000000203,19.166574803150407,28.346456692913385,1.209161488982029,6,30,3,True
h06_r60_t1,378,1553.0249999999498,4.1085317460316135,52.64550264550265,1.1293075993427268,248,2428.1200000000745,9.790806451613204,49.193548387096776,1.1201304251135418,6,60,1,True
h06_r60_t2,378,1325.44499999995,3.5064682539681216,33.5978835978836,1.0819782345095337,248,3208.6650000000673,12.938165322580916,33.064516129032256,1.1233131780362822,6,60,2,True
h06_r60_t3,378,2090.5749999999766,5.530621693121631,28.835978835978835,1.1219851265758136,248,4775.300000000094,19.25524193548425,28.62903225806452,1.1733877585403119,6,60,3,True
h07_r15_t1,380,-372.60499999994306,-0.9805394736840607,48.94736842105264,0.951104753968756,252,812.1350000000925,3.222757936508304,51.587301587301596,1.0723238501239492,7,15,1,False
h07_r15_t2,380,941.8850000000235,2.4786447368421674,35.26315789473684,1.099896114446989,252,2051.560000000167,8.141111111111773,35.317460317460316,1.137790500087996,7,15,2,True
h07_r15_t3,380,63.28999999994373,0.1665526315787993,26.31578947368421,1.0058176864470099,252,1329.3300000002446,5.275119047620018,24.206349206349206,1.0778799189406414,7,15,3,True
h07_r30_t1,383,1692.770000000038,4.4197650130549295,55.09138381201044,1.1834341744313543,252,-52.024999999917696,-0.2064484126980861,52.38095238095239,0.9966546925773446,7,30,1,False
h07_r30_t2,383,3068.355000000046,8.011370757180277,38.1201044386423,1.2489658725779789,252,1380.1100000001993,5.476626984127775,34.12698412698413,1.0687838440625184,7,30,2,True
h07_r30_t3,383,1243.8649999998977,3.2476892950388976,27.93733681462141,1.0879890412044129,252,3053.585000000239,12.117400793651742,26.984126984126984,1.14049641913193,7,30,3,True
h07_r60_t1,382,923.3849999999638,2.4172382198951934,52.35602094240838,1.0702872736406992,253,-2002.8100000000115,-7.916245059288583,48.616600790513836,0.9075082017482278,7,60,1,False
h07_r60_t2,382,637.6499999999194,1.669240837696124,35.340314136125656,1.036615039642601,253,-487.53999999988355,-1.9270355731220694,32.80632411067194,0.9815290809757419,7,60,2,False
h07_r60_t3,382,860.269999999887,2.2520157068059867,30.104712041884817,1.0468827829605076,253,1981.6050000001921,7.832430830040285,29.249011857707508,1.0717993247271778,7,60,3,True
h08_r15_t1,383,-681.6650000000355,-1.7798041775457847,50.65274151436031,0.9144856266504382,252,2313.2299999999063,9.179484126983755,50.79365079365079,1.1993356140184495,8,15,1,False
h08_r15_t2,383,-1272.8300000000047,-3.323315926892963,31.33159268929504,0.8809952111238061,252,1339.3699999999658,5.314960317460182,29.365079365079367,1.083103605104463,8,15,2,False
h08_r15_t3,383,-1380.0650000000505,-3.603302872062795,23.759791122715406,0.8821401151385561,252,4122.214999999982,16.35799603174596,23.809523809523807,1.2373251135540286,8,15,3,False
h08_r30_t1,384,-790.8100000000009,-2.059401041666669,48.4375,0.9245603223603126,254,-679.3849999999177,-2.674744094487865,45.2755905511811,0.9603011545875897,8,30,1,False
h08_r30_t2,384,-182.9249999999359,-0.47636718749983303,33.33333333333333,0.9863758797398188,254,2896.3200000000484,11.402834645669481,32.28346456692913,1.1389021706341678,8,30,2,False
h08_r30_t3,384,-818.9899999999501,-2.1327864583332032,25.520833333333332,0.9439265901781363,254,5369.784999999973,21.140885826771544,26.77165354330709,1.241045442925268,8,30,3,False
h08_r60_t1,383,-1040.3999999999166,-2.716449086161662,48.56396866840731,0.9239841538670669,251,1546.9349999999558,6.163087649402215,46.21513944223107,1.0747508401970545,8,60,1,False
h08_r60_t2,383,1792.9700000001383,4.681383812010805,37.59791122715404,1.1100991062050536,251,4189.474999999973,16.691135458167224,33.067729083665334,1.1623554724429046,8,60,2,True
h08_r60_t3,383,2690.5950000002435,7.025052219321784,32.375979112271544,1.1565250399225258,251,9453.160000000022,37.66199203187259,28.68525896414343,1.3513558265893415,8,60,3,True
h09_r15_t1,377,328.9550000000833,0.8725596816978337,52.51989389920424,1.0506057366141954,252,-2803.8500000000813,-11.126388888889212,44.84126984126984,0.7747908028767864,9,15,1,False
h09_r15_t2,377,725.8000000001477,1.9251989389924344,36.339522546419104,1.0831998826168814,252,-2761.765000000088,-10.95938492063527,28.968253968253972,0.8237326354372816,9,15,2,False
h09_r15_t3,377,831.1750000001744,2.2047082228121337,26.790450928381965,1.0843030965990377,252,-4380.974999999977,-17.384821428571335,21.428571428571427,0.7513174262994834,9,15,3,False
h09_r30_t1,386,526.440000000022,1.3638341968912486,52.331606217616574,1.0578981722878675,250,-3197.0450000000797,-12.788180000000319,44.800000000000004,0.8004074826474902,9,30,1,False
h09_r30_t2,386,940.9250000000469,2.437629533678878,34.97409326424871,1.0777413230132697,250,-5020.6900000000305,-20.08276000000012,27.200000000000003,0.7587720204390982,9,30,2,False
h09_r30_t3,386,422.5699999999797,1.0947409326424344,26.94300518134715,1.031526957611658,250,-3653.93000000005,-14.615720000000199,22.0,0.8326563586993093,9,30,3,False
h09_r60_t1,386,-332.2549999999327,-0.8607642487044889,51.554404145077726,0.973433807599701,248,-1011.4449999999513,-4.07840725806432,47.58064516129033,0.9478234246614936,9,60,1,False
h09_r60_t2,386,1315.455000000063,3.4079145077721837,37.56476683937824,1.0852545426088038,248,-1945.5199999999081,-7.844838709677049,31.048387096774192,0.922666186490436,9,60,2,False
h09_r60_t3,386,821.9250000000874,2.1293393782385683,31.865284974093267,1.0498222873244403,248,-766.1749999999375,-3.0894153225803933,27.016129032258064,0.9709415444037726,9,60,3,False
h10_r15_t1,376,-300.2549999999392,-0.7985505319147318,48.138297872340424,0.9531356452696766,251,-2498.2300000000882,-9.953107569721467,45.0199203187251,0.7783568241936049,10,15,1,False
h10_r15_t2,376,811.7400000000556,2.158882978723552,35.90425531914894,1.0996276268020402,251,-4225.505000000065,-16.834681274900657,29.880478087649404,0.7126961889029628,10,15,2,False
h10_r15_t3,376,1024.7550000000836,2.7254122340427753,26.595744680851062,1.1112971333864876,251,-5512.024999999974,-21.960258964143325,21.51394422310757,0.6611284702743337,10,15,3,False
h10_r30_t1,384,-578.0449999999421,-1.5053255208331826,49.21875,0.9383716783401375,255,-4281.8400000001075,-16.791529411765126,44.70588235294118,0.7317066369999843,10,30,1,False
h10_r30_t2,384,-1164.934999999911,-3.0336848958331015,32.03125,0.9060943341092136,255,-6085.050000000051,-23.862941176470787,28.235294117647058,0.700438631037944,10,30,2,False
h10_r30_t3,384,-1011.0349999998233,-2.632903645832873,25.260416666666668,0.9253241381551769,255,-7292.260000000011,-28.59709803921573,21.568627450980394,0.669155098434418,10,30,3,False
h10_r60_t1,386,-67.53499999997376,-0.17496113989630507,50.51813471502591,0.9945094879722565,254,-4548.974999999966,-17.909350393700652,44.09448818897638,0.7861749022763649,10,60,1,False
h10_r60_t2,386,-501.90999999995967,-1.3002849740931597,36.26943005181347,0.9681981194241707,254,-4385.189999999804,-17.264527559054347,32.677165354330704,0.8276754922333616,10,60,2,False
h10_r60_t3,386,8.080000000074833,0.0209326424872405,31.606217616580313,1.0004887972864533,254,-2110.294999999912,-8.308248031495715,28.346456692913385,0.9200314600005749,10,60,3,False
h11_r15_t1,374,-681.8299999999155,-1.8230748663099343,46.79144385026738,0.8990283124416564,251,-100.48499999996987,-0.4003386454182067,49.40239043824701,0.9905459738888821,11,15,1,False
h11_r15_t2,374,-512.4149999999302,-1.3700935828875138,30.74866310160428,0.9412489394391148,251,-3226.2399999999643,-12.853545816732925,31.07569721115538,0.7842221690880797,11,15,2,False
h11_r15_t3,374,-665.9650000000121,-1.780655080213936,23.52941176470588,0.93138265043805,251,-1961.1799999999703,-7.813466135458049,23.904382470119522,0.8781603339877249,11,15,3,False
h11_r30_t1,385,479.57999999994854,1.245662337662204,50.38961038961038,1.054507761656117,253,-2254.834999999975,-8.912391304347727,47.82608695652174,0.852615096913483,11,30,1,False
h11_r30_t2,385,813.1999999999766,2.1122077922077316,32.98701298701299,1.0701332549091955,253,-518.0749999999024,-2.047727272726887,33.59683794466403,0.972764008273711,11,30,2,False
h11_r30_t3,385,1222.5549999999341,3.1754675324673616,27.27272727272727,1.0963462572049516,253,-128.58999999993046,-0.5082608695649425,25.691699604743086,0.9938051888709256,11,30,3,False
h11_r60_t1,386,1030.8249999999193,2.6705310880826927,49.740932642487046,1.0836038822793683,253,-6446.7099999999655,-25.481067193675752,44.26877470355731,0.7227254897575437,11,60,1,False
h11_r60_t2,386,3213.544999999903,8.325246113989387,38.082901554404145,1.2200037311452994,253,-2867.9900000000443,-11.335928853755115,31.225296442687743,0.8944382803170304,11,60,2,False
h11_r60_t3,386,2510.4249999998706,6.503691709844224,31.606217616580313,1.1588320670043877,253,-4668.054999999967,-18.45081027667971,27.66798418972332,0.8378348849945719,11,60,3,False
h12_r15_t1,378,-1148.215000000041,-3.0376058201059286,46.82539682539682,0.8577360730118329,255,-2894.8499999999067,-11.352352941176104,43.13725490196079,0.7887095726457105,12,15,1,False
h12_r15_t2,378,-1506.0100000000355,-3.984153439153533,31.216931216931215,0.8558121165846044,255,-2644.119999999967,-10.369098039215558,28.627450980392155,0.8464909326936264,12,15,2,False
h12_r15_t3,378,-1806.2600000000339,-4.778465608465698,22.75132275132275,0.8430911629866559,255,-1608.7649999999537,-6.308882352940995,22.35294117647059,0.9139546706466906,12,15,3,False
h12_r30_t1,380,329.7849999999911,0.8678552631578713,49.473684210526315,1.0297283714682988,255,1741.6500000000221,6.830000000000087,51.76470588235295,1.1015682975581105,12,30,1,True
h12_r30_t2,380,-1761.8549999999814,-4.636460526315741,33.421052631578945,0.8799549896365791,255,2172.5149999999894,8.519666666666625,38.82352941176471,1.0999796360490246,12,30,2,False
h12_r30_t3,380,-1720.3849999999247,-4.527328947368223,28.68421052631579,0.8893454155677427,255,3076.9450000000957,12.066450980392531,33.72549019607843,1.1339291990677491,12,30,3,False
h12_r60_t1,382,-905.6149999999844,-2.3707198952879174,48.69109947643979,0.9432745679032458,249,3284.7749999999946,13.191867469879497,51.00401606425703,1.1516203019874,12,60,1,False
h12_r60_t2,382,-399.80999999993605,-1.0466230366490472,38.481675392670155,0.9780782725365158,249,5593.97999999997,22.46578313253,42.971887550200805,1.220367393230354,12,60,2,False
h12_r60_t3,382,-2021.0549999999598,-5.290719895287853,35.340314136125656,0.8933946855452998,249,3451.934999999871,13.863192771083819,39.75903614457831,1.1292312374853968,12,60,3,False
h13_r15_t1,385,-2755.9949999999985,-7.158428571428567,45.19480519480519,0.776152752469249,254,-47.509999999981346,-0.18704724409441476,49.21259842519685,0.9971680920086974,13,15,1,False
h13_r15_t2,385,-1950.7900000000905,-5.066987012987248,32.20779220779221,0.8670765410832834,254,-335.34500000000367,-1.3202559055118255,36.22047244094488,0.9839976159504177,13,15,2,False
h13_r15_t3,385,-2059.710000000136,-5.349896103896457,27.79220779220779,0.8674591494698499,254,-55.03999999991021,-0.21669291338547325,31.496062992125985,0.9975320195133713,13,15,3,False
h13_r30_t1,384,1392.3150000000242,3.6258203125000628,54.6875,1.1059215946722556,254,963.8550000000472,3.794704724409635,53.14960629921261,1.0471880457244602,13,30,1,True
h13_r30_t2,384,2282.84499999996,5.944908854166562,41.66666666666667,1.1440712516369231,254,-3042.05999999993,-11.97661417322807,36.61417322834646,0.8857968553083729,13,30,2,False
h13_r30_t3,384,2176.3149999999328,5.667486979166491,37.76041666666667,1.1308063591779702,254,-305.58999999994484,-1.2031102362202553,35.039370078740156,0.9886873112716364,13,30,3,False
h13_r60_t1,376,2115.2749999999874,5.62573138297869,52.3936170212766,1.132627021672136,241,3250.374999999977,13.48703319502065,53.11203319502075,1.1334064863779982,13,60,1,True
h13_r60_t2,376,3334.264999999941,8.86772606382963,48.67021276595745,1.1957550825346763,241,4543.01499999994,18.850684647302657,44.81327800829876,1.167101461296165,13,60,2,True
h13_r60_t3,376,2988.299999999963,7.947606382978624,47.87234042553192,1.1740302775294582,241,4361.129999999984,18.09597510373437,43.15352697095436,1.1575183419783437,13,60,3,True
h14_r15_t1,385,1563.0250000000385,4.0598051948052944,52.467532467532465,1.132408802037186,254,3103.1750000000998,12.217224409449212,54.330708661417326,1.1938634404978121,14,15,1,True
h14_r15_t2,385,3114.6200000000454,8.089922077922196,44.41558441558441,1.2304407578467662,254,4682.024999999992,18.43316929133855,42.125984251968504,1.2315542688201115,14,15,2,True
h14_r15_t3,385,2291.4050000000657,5.95170129870147,40.25974025974026,1.1616497779207562,254,7025.864999999956,27.66088582677148,39.37007874015748,1.3348286376916265,14,15,3,True
h14_r30_t1,381,1272.9199999999905,3.340997375328059,53.018372703412076,1.0938502820662066,250,345.91499999998297,1.383659999999932,50.8,1.0161354987269173,14,30,1,True
h14_r30_t2,381,1330.625000000053,3.4924540682416088,47.506561679790025,1.0914535871112419,250,4596.345000000029,18.38538000000012,44.0,1.1936024174055564,14,30,2,True
h14_r30_t3,381,781.2350000000705,2.050485564304647,45.40682414698163,1.052681195604572,250,3279.515000000034,13.118060000000137,40.8,1.1343898291193715,14,30,3,True
h14_r60_t1,361,-156.93999999995668,-0.4347368421051432,49.86149584487535,0.9886381817615844,240,3898.1799999999957,16.24241666666665,51.24999999999999,1.1803604080454235,14,60,1,False
h14_r60_t2,361,-109.88999999995713,-0.30440443213284524,46.81440443213297,0.9923408152511827,240,3740.879999999991,15.586999999999962,45.416666666666664,1.155871623662746,14,60,2,False
h14_r60_t3,361,523.4400000000255,1.4499722991690458,46.53739612188366,1.0363846032737398,240,6772.60999999988,28.219208333332833,45.0,1.2821033970778712,14,60,3,True
h15_r15_t1,385,137.8299999999827,0.3579999999999551,49.35064935064935,1.013638027764858,254,2392.3000000000256,9.418503937007975,51.574803149606296,1.151090898009698,15,15,1,True
h15_r15_t2,385,1165.3900000000133,3.0269870129870475,38.961038961038966,1.1030173541621007,254,2386.9850000000433,9.39757874015765,39.76377952755906,1.1232781556397808,15,15,2,True
h15_r15_t3,385,1257.930000000033,3.267350649350735,35.84415584415584,1.106805357206539,254,3553.0450000000724,13.988366141732568,36.22047244094488,1.1766769490718905,15,15,3,True
h15_r30_t1,379,-414.7500000000432,-1.0943271767811167,48.02110817941953,0.9634594375528578,249,2585.969999999956,10.385421686746811,48.99598393574297,1.1365482926381063,15,30,1,False
h15_r30_t2,379,428.7599999999605,1.1312928759893417,41.68865435356201,1.035622671858244,249,-282.2500000000682,-1.1335341365464586,40.16064257028113,0.9876422590519599,15,30,2,False
h15_r30_t3,379,568.029999999971,1.4987598944590264,40.369393139841684,1.0461598346134944,249,1107.4399999999457,4.447550200802995,38.95582329317269,1.0476875865393556,15,30,3,True
h15_r60_t1,362,-751.6150000000234,-2.076284530386805,45.027624309392266,0.9320704190473759,235,4491.774999999947,19.11393617021254,50.638297872340424,1.2603498902209684,15,60,1,False
h15_r60_t2,362,-9.274999999996595,-0.02562154696131656,42.5414364640884,0.9991929357733504,235,5020.869999999949,21.365404255318932,45.53191489361702,1.2599700257827946,15,60,2,False
h15_r60_t3,362,256.7899999999998,0.7093646408839773,42.26519337016575,1.022062873045044,235,6785.214999999993,28.873255319148907,45.53191489361702,1.351324077000962,15,60,3,True
h16_r15_t1,384,2162.405000000038,5.631263020833432,55.46875,1.3240274068052569,249,-432.1949999998935,-1.7357228915658374,48.19277108433735,0.967588344717923,16,15,1,False
h16_r15_t2,384,-112.88999999991759,-0.2939843749997854,37.5,0.9876920091276997,249,1083.560000000124,4.35164658634588,38.95582329317269,1.067460038288541,16,15,2,False
h16_r15_t3,384,-141.27499999989988,-0.3679036458330726,33.85416666666667,0.9852907644429649,249,-1134.489999999847,-4.556184738955209,34.13654618473896,0.9342264964908497,16,15,3,False
