session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,vwap_drift_pct,realized_vol_pct,max_dev_pct,mean_abs_dev_pct,vwap_crosses,avg_spread,median_spread
2024-02-22,Thursday,276,90165,2025.7835,2034.933,2019.6465,2024.9769999999999,0.7545969250909553,-0.03981175678448077,0.05275897033331014,0.062243576461258436,0.4791414261941336,0.35965691808580563,0.12287391589105423,6,0.07048556782815567,0.06299999999987449
2024-02-23,Friday,264,85994,2024.824,2041.4434999999999,2016.0805,2035.6235000000001,1.2526026953453646,0.5333549977677112,0.42579742144068733,0.13989161990222035,0.5334995938396907,0.7341007846749337,0.2368664455472568,11,0.06249993623262394,0.06200000000012551
2024-02-26,Monday,276,81230,2034.0965,2037.121,2025.1185,2031.373,0.5900654172503641,-0.13389236941315508,0.22691106019579635,-0.09453203313314455,0.44466581218961443,0.3400234006374673,0.08071363713937706,20,0.07044979846097407,0.06299999999987449
2024-02-27,Tuesday,276,78022,2031.286,2039.5715,2028.7755,2030.3895,0.5314859650487449,-0.04413460241443401,0.083040014820309,0.09306061916796471,0.3818522476833711,0.258862260695808,0.0965733700412243,21,0.06991168703555736,0.06299999999987449
2024-02-28,Wednesday,276,78853,2030.2675,2038.0245,2024.5745,2034.6035,0.6624742798670641,0.21356791654301774,0.3223791821561337,0.07185475558586639,0.3980439314649432,0.3705761288162643,0.1065480702527375,10,0.07018070359189194,0.06299999999987449
2024-02-29,Thursday,276,89913,2034.6779999999999,2050.767,2028.1644999999999,2044.2815,1.1108637337210097,0.4719911455277035,0.4248866275854522,0.21346713212355475,0.5653753816760175,0.7094110734592148,0.2090104648017446,13,0.07058677635214008,0.06299999999987449
2024-03-01,Friday,264,99737,2044.3525,2088.4094999999998,2039.1390000000001,2083.415,2.4100784967367237,1.9107516927731396,0.7928172029916541,0.7147591540547821,0.7362081899755271,1.6927426798119094,0.5265795463828259,11,0.06250293442204509,0.062000000000352884
2024-03-04,Monday,276,100762,2083.691,2119.9845,2079.511,2114.7795,1.9423945297071428,1.4919918548383755,0.7681198809097373,0.5384921042312463,0.7853673275114339,1.562868960408362,0.47452605509314016,21,0.07060939408746537,0.06299999999964712
2024-03-05,Tuesday,276,125333,2114.6395,2141.9785,2110.5095,2128.4625,1.4881496349614225,0.6536811593654551,0.4392576821633939,0.36902205123667975,0.966251806097157,1.0100363528109872,0.2708559407473745,12,0.0704252866552826,0.06299999999964712
2024-03-06,Wednesday,276,120511,2128.077,2152.3305,2123.7039999999997,2147.592,1.3451815888241028,0.9170250888478129,0.6817110020435493,0.3421253777508048,0.8682884393684422,0.8976901047273543,0.30087236411021046,29,0.07260461716513486,0.06299999999964712
