session_date,hour,mean_abs_dev_pct,bar_range_pct,avg_spread
2025-05-08,20,1.2858185902579011,0.08526102569092125,0.036999999999987015
2025-05-08,22,0.9423119047215525,0.09989340743869551,0.03699999999998845
2025-05-08,23,0.9111342053409445,0.0960117944420087,0.03699999999999102
2025-05-09,0,0.10132439294830864,0.11171319871994846,0.03699999999999603
2025-05-09,1,0.35731415450696247,0.19247196849982456,0.0370000000000112
2025-05-09,2,0.4630176031146745,0.21102000931225207,0.03699861111110118
2025-05-09,3,0.13244154045712858,0.133542481721842,0.03699999999999414
2025-05-09,4,0.33863121748588626,0.10421027870042826,0.03700138888890604
2025-05-09,5,0.407923815563299,0.13240994512506526,0.036999999999997306
2025-05-09,6,0.36876981824421423,0.12341157817068125,0.03700138888888521
2025-05-09,7,0.4730265829580412,0.11578553057301773,0.03699999999999919
2025-05-09,8,0.33479577779653535,0.09158784912388217,0.037000000000016874
2025-05-09,9,0.3442328891866251,0.07272248880897428,0.03699999999998972
2025-05-09,10,0.2804193342390034,0.07375720074105284,0.03700138888888356
2025-05-09,11,0.4248207446070467,0.14048170990260922,0.036999999999995405
2025-05-09,12,0.44957223984044886,0.09113228474092028,0.03700000000000172
2025-05-09,13,0.472675759480949,0.1207613706694377,0.03700000000000235
2025-05-09,14,0.39455520023200563,0.16298573839164984,0.036999999999991616
2025-05-09,15,0.6065774731641805,0.10109382005194176,0.036999999999998555
2025-05-09,16,0.583572772010437,0.09840778913568404,0.037000000000008026
2025-05-09,17,0.49435456783006226,0.0711113186988303,0.036999999999999825
2025-05-09,18,0.4337232874865909,0.05688859481441981,0.036999999999994766
2025-05-09,19,0.18012808079756268,0.07469197007740241,0.03700000000000298
2025-05-09,20,0.10173943301837189,0.05733657148321378,0.03699861111112615
2025-05-12,0,0.08608525222450185,0.14613165707795348,0.03699999999999856
2025-05-12,1,0.26586289638406935,0.22848956681678365,0.03700000000000108
2025-05-12,2,0.05730211741701249,0.15004751860924145,0.03700000000000677
2025-05-12,3,0.1387032947352125,0.10666735172346473,0.037000000000003606
2025-05-12,4,0.09662166715587912,0.06811920247609392,0.037000000000002344
2025-05-12,5,0.07217121786633482,0.10490306347248218,0.03700138888888331
2025-05-12,6,0.055405939473800396,0.11254409388235906,0.03700138888889278
2025-05-12,7,1.206072921496473,0.3583306868383465,0.03700138888887573
2025-05-12,8,1.2370706266257008,0.1616444196801248,0.03700000000000614
