param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
B_t0.35_s0.6_fixed_r1.5_e0.3_h0,1436,335,40.32033426183844,0.9244630360226501,-3599.2116300000894,-2.506414784122625,-0.028789320865461224,-10.743915313433112,-26.073344442798312,4.6826514987310714,-45.50042504439464,-1.1808517669844847
B_t0.25_s1_fixed_r1.0_e0.3_h24,2387,376,49.81147884373691,0.9398418679601249,-3895.1518999999116,-1.63181897779636,-0.013771262284750186,-10.359446542552968,-26.19433617021164,5.1005649717418375,-48.132494088054955,-1.0674755161183174
B_t0.35_s0.8_vwap_static_e0.45_h24,1689,353,46.06275902901125,0.9481288690067828,-2675.238818866221,-1.5839187796721261,-0.011230359702049771,-7.578580223417068,-26.336572723943988,10.265565574915152,-50.67258334894391,-0.6830615063622606
B_t0.35_s0.6_vwap_static_e0.3_h12,2156,335,46.19666048237477,0.9261963041127512,-3429.0061880405015,-1.590448139165353,-0.014298011039720206,-10.23583936728509,-26.398536678500566,5.49864411437306,-43.109424717530054,-1.101671915771615
B_t0.35_s0.8_fixed_r1.0_e0.45_h24,1935,353,49.71576227390181,0.9430893072542335,-3236.1833759998776,-1.6724461891472235,-0.011659203787148428,-9.16765828895151,-26.53097516090641,7.428115671671355,-45.12682467924565,-0.8957767829314448
B_t0.35_s0.8_fixed_r1.5_e0.3_h24,1464,335,46.44808743169399,0.926558339941996,-3280.070211999913,-2.2404851174862794,-0.016669613952376417,-9.791254364178853,-26.640347928954718,6.7637933241792485,-42.87277740001567,-0.9942277061945561
B_t0.25_s0.8_fixed_r1.0_e0.3_h24,2812,376,48.96870554765292,0.9321996833803465,-4608.276640000052,-1.6387897012802461,-0.017493264731513133,-12.256054893617172,-26.660758031915062,1.8388752167555245,-49.60422271605917,-1.3708885009144627
B_t0.35_s0.6_fixed_r1.0_e0.45_h24,2434,353,49.75349219391948,0.9373416844790944,-3913.565786999992,-1.6078741935086245,-0.016161303760799342,-11.086588631728032,-26.98413770169955,4.265570541005887,-49.08289246963762,-1.180548248780748
B_t0.35_s0.8_fixed_r1.0_e0.3_h24,1588,335,49.30730478589421,0.916223840651793,-3952.671627999937,-2.4890879269521013,-0.020395554848607885,-11.799019785074446,-27.082168812835352,3.3218355632839174,-45.77469196518159,-1.3201751926568444
B_t0.35_s0.6_fixed_r1.5_e0.45_h12,2761,353,46.142701919594344,0.9403184437928924,-3661.2158975000557,-1.3260470472655037,-0.010817047680931086,-10.37171642351292,-27.169086207967354,5.874539200672248,-49.49310005386962,-1.0436638498168442
B_t0.35_s0.6_fixed_r1.0_e0.45_h0,2185,353,49.4279176201373,0.9361400276729149,-3991.5280800000073,-1.826786306636159,-0.020009530493515258,-11.307444985835724,-27.249582603540855,4.113837237181356,-51.41420256236384,-1.1867359122864487
B_t0.35_s0.6_vwap_static_e0.45_h24,1904,353,42.016806722689076,0.9383523527011136,-3362.7872228601564,-1.7661697599055444,-0.019208219221726452,-9.526309413201586,-27.365045636478253,8.113111436437,-51.10705661272795,-0.8850824524024926
B_t0.35_s1_fixed_r1.0_e0.3_h0,984,335,48.88211382113821,0.9234295300094687,-3263.6148050001134,-3.316681712398489,-0.023114221524148923,-9.742133746269,-27.41421601268677,7.40824113208932,-46.01582600867001,-0.9548890200579114
B_t0.35_s0.8_vwap_static_e0.45_h12,2458,353,47.84377542717657,0.9410514746119922,-3355.4812623382422,-1.3651266323589268,-0.008130181332315401,-9.50561264118483,-27.427088847524885,8.079845871181421,-51.10158998749185,-0.8891629871328387
B_t0.35_s0.8_fixed_r1.0_e0.3_h0,1273,335,48.93951296150825,0.9138972887914394,-4026.5346519999034,-3.163028006284292,-0.02856511584474731,-12.019506423880319,-27.916427228059156,3.6631077677612245,-49.380308612757624,-1.294188913140159
B_t0.25_s1_fixed_r1.0_e0.3_h0,1994,376,49.247743229689064,0.9331946959485119,-4418.689149999909,-2.2159925526579283,-0.022944394849391588,-11.751832845744454,-28.01985638962714,3.9661037416888587,-52.09978422128281,-1.1782715197885267
B_t0.25_s0.8_fixed_r1.0_e0.3_h0,2535,376,48.994082840236686,0.928873501198029,-4909.702639999994,-1.9367663274161713,-0.02331417122367491,-13.057719787234042,-28.086813668883085,1.3924489933510624,-52.28046941559701,-1.419004189609417
B_t0.35_s1_fixed_r1.0_e0.45_h12,2469,353,50.02025111381126,0.9366475641419747,-3631.1482150000975,-1.4706959153503838,-0.006124487986602653,-10.286538852691502,-28.14672223937749,6.903841479461496,-48.553497197958585,-0.9756326354155382
B_t0.35_s0.8_fixed_r1.0_e0.45_h0,1552,353,49.03350515463917,0.9348913755297144,-3721.275591999856,-2.397729118556608,-0.01966045751317148,-10.541857201132744,-28.1838795980165,6.188642644759125,-48.38637975335854,-1.0114349106497273
B_t0.35_s0.8_fixed_r1.5_e0.3_h12,2071,335,48.140994688556255,0.9139376853078391,-4078.1181799999804,-1.9691541187831871,-0.015436431278540075,-12.173487104477568,-28.2208983319401,3.3899235555225045,-51.81273413017588,-1.3068068152605068
B_t0.35_s1_fixed_r1.0_e0.3_h12,2035,335,49.238329238329236,0.9117139216843005,-4141.646995000125,-2.03520736855043,-0.012765242404498698,-12.363125358209338,-28.225764399627174,3.437675605223661,-49.990676832020355,-1.3128194036523322
B_t0.35_s0.6_fixed_r1.0_e0.45_h12,2961,353,48.93617021276596,0.9302650306382944,-4405.662474000015,-1.4878968166160131,-0.013362784794498796,-12.480630237960394,-28.390124101557827,2.91372862641657,-50.69953801086834,-1.325659026660494
B_t0.25_s0.6_fixed_r1.5_e0.3_h0,2817,376,39.68761093361732,0.9240151969636846,-5268.032132500173,-1.8700859540291705,-0.029435255962262947,-14.010723756649407,-28.46903170960834,0.18493090275899862,-59.38756679925945,-1.560238381356349
B_t0.35_s0.6_fixed_r1.5_e0.45_h24,2136,353,44.00749063670412,0.9314626440927658,-4127.1406450000295,-1.9321819499063808,-0.021330729159171585,-11.69161655807375,-28.551106665545664,4.590226736189683,-53.71656674900327,-1.1695794487701456
