param,trades,sessions,win_rate,pf,net_pnl,exp_usd,exp_R,mean_session,ci_lo,ci_hi,max_dd_pct,sharpe
A_t0.3_s0.8_fixed_r1.5,2347,375,40.73285044737963,0.925501470189504,-6657.8099719998145,-2.836731986365494,-0.028836428528197944,-17.754159925332853,-38.2887916527989,2.2072924938669978,-76.15709464872546,-1.4181381894246108
A_t0.4_s0.8_fixed_r1.5,1286,350,40.97978227060653,0.9017355704047705,-6143.865856000195,-4.777500665630011,-0.040300794600620166,-17.553902445714847,-38.538211961143766,2.697182033143411,-73.31810928282641,-1.4115626720728998
A_t0.3_s1_vwap_dynamic,1654,375,44.55864570737606,0.909087655925484,-6566.403111931157,-3.970013973356201,-0.038233491363944584,-17.510408298483096,-38.5669758567794,3.1240751574542043,-74.107330369505,-1.3525069375793288
A_t0.4_s0.6_vwap_static,1366,350,33.08931185944363,0.8916056926536976,-6369.276932967061,-4.662721034382915,-0.0565407399027293,-18.197934094191613,-39.649816556280456,2.3553433463597537,-76.77274850025391,-1.4369836229298525
A_t0.4_s1_fixed_r1.0,1196,350,48.4113712374582,0.8881027963228116,-6823.399080000023,-5.7051831772575445,-0.04046141333850076,-19.495425942857207,-39.89146183714306,0.46122111142843075,-79.1000860623297,-1.6098306256642438
A_t0.3_s0.6_fixed_r1.5,3299,375,39.58775386480752,0.9157802984232555,-8215.804250999936,-2.4903923161563917,-0.03570574068708493,-21.90881133599985,-40.77571883639993,-3.4370224197326786,-89.50870686355388,-1.883637683296935
A_t0.4_s1.25_vwap_static,841,350,47.56242568370987,0.8700072400263007,-6721.56640924629,-7.992350070447432,-0.047285972084634253,-19.2044754549894,-40.848349124478595,1.58687337764575,-79.22274671845365,-1.501452723207266
A_t0.3_s0.8_fixed_r1.0,2844,375,48.452883263009845,0.9071258637565354,-8704.981063999872,-3.060823158931038,-0.03471436652068739,-23.213282837333,-41.278725653866054,-5.7475104933331576,-94.23969949983514,-2.091920618821822
A_t0.4_s1_vwap_static,974,350,42.91581108829568,0.8750926797575398,-6887.14169713856,-7.0709873687254206,-0.05140576227391085,-19.677547706110182,-41.530842837970816,1.4900397891064543,-81.93190839134958,-1.5237255646148464
A_t0.3_s1.25_fixed_r1.0,1667,375,49.19016196760648,0.9092396902648502,-7315.045199999925,-4.3881494901019344,-0.03215318445408259,-19.506787199999806,-41.896652275832864,2.2964795691663507,-86.088708080108,-1.4143149800712767
A_t0.3_s0.6_vwap_dynamic,2359,375,31.581178465451465,0.8987980022311027,-8016.6969748899155,-3.398345474730782,-0.05120694458600141,-21.377858599706457,-42.281851769162664,-1.131180836952702,-84.54982684735906,-1.670244053656952
A_t0.4_s0.8_vwap_static,1110,350,38.648648648648646,0.8707315660880208,-7323.6130449019,-6.597849590001712,-0.06126787437591322,-20.92460869971972,-42.93564859043457,0.294628850507643,-84.63282903095562,-1.6137689827273651
A_t0.3_s0.8_vwap_static,1835,375,35.694822888283376,0.8955946123736633,-7906.2738910594235,-4.308596125917942,-0.05153506147736089,-21.083397042825133,-43.098242772842966,-0.011668774248402517,-89.70931948089482,-1.5941179511949999
A_t0.4_s1.25_fixed_r1.0,957,350,49.11180773249739,0.8715080371737451,-7399.306799999901,-7.731773040752248,-0.04427040775623917,-21.140876571428283,-43.45258879642794,0.21837711785715103,-85.21912302018143,-1.6126363718155163
A_t0.3_s1_vwap_static,1553,375,40.56664520283322,0.8788660610933444,-8804.491680960171,-5.66934428909219,-0.05934985725636059,-23.47864448256047,-45.07741824277109,-2.1262590658003844,-98.17747558232962,-1.7371454306737808
A_t0.3_s0.6_fixed_r1.0,4013,375,48.143533516072765,0.896544907854258,-10536.145252000148,-2.625503426862733,-0.03741526800455606,-28.09638733866708,-45.40166003600048,-11.155940274933624,-105.34784028136464,-2.625907629594683
A_t0.3_s1.25_vwap_static,1362,375,45.22760646108664,0.87902782235957,-8621.846520593368,-6.330283788981915,-0.05115807771430591,-22.991590721582316,-45.493142451782646,-1.1944662700176845,-96.6852902158015,-1.6672229462422865
A_t0.4_s1_fixed_r1.5,1035,350,41.932367149758456,0.8619158228775385,-8239.303819999948,-7.960680019323622,-0.059059491981321634,-23.540868057142713,-45.64843543571428,-2.4511239128573634,-90.26701217293534,-1.8163932757124464
A_t0.3_s0.6_vwap_static,2280,375,29.078947368421055,0.8830281002498847,-9277.577927473914,-4.06911312608505,-0.06562182339480782,-24.74020780659712,-46.19786189611916,-4.207461805525692,-100.39246008110972,-1.8848010935317463
A_t0.3_s1_fixed_r1.5,1791,375,40.480178671133444,0.8876061718780147,-9365.246839999814,-5.229060212171867,-0.05220555796477471,-24.973991573332842,-47.66490521699917,-2.6223378483333115,-105.24543647965248,-1.7852116490684897
A_t0.4_s1.25_fixed_r1.5,837,350,43.966547192353644,0.8375866837535882,-8990.973824999854,-10.74190421146936,-0.06830073331552282,-25.68849664285672,-48.57218605178534,-3.0737198874998124,-97.74310874429304,-1.874917325296827
A_t0.2_s1.25_vwap_dynamic,2600,386,44.03846153846154,0.8807525486105389,-11463.48219706013,-4.409031614253896,-0.052501702528505945,-29.698140406891547,-51.51248412370196,-8.601865232680995,-121.94115899947427,-2.1963040591038707
A_t0.2_s0.6_vwap_dynamic,4304,386,26.6728624535316,0.8806966972661928,-12457.34841898079,-2.8943653389825252,-0.06593082815762576,-32.27292336523522,-51.812837394062804,-12.974963604590076,-130.35074895294716,-2.612386416138325
A_t0.2_s1_vwap_dynamic,3024,386,38.095238095238095,0.8794693975604307,-12164.17036012693,-4.022543108507582,-0.05910538683431267,-31.513394715354767,-52.96235475126934,-10.98100409815573,-126.93241271417723,-2.372536738737277
A_t0.2_s1.25_fixed_r1.0,3455,386,47.95947901591896,0.8899765249007319,-13058.920449999769,-3.779716483357386,-0.04486042592323025,-33.831400129533115,-53.38705776068569,-14.427522036916699,-139.8646351632556,-2.755885815030285
A_t0.2_s0.8_vwap_dynamic,3531,386,32.73860096290003,0.8770751829405247,-12738.634798197454,-3.6076564141029324,-0.06440208310350787,-33.001644554915714,-53.59211530161889,-12.994269209501764,-136.07198786300842,-2.544057709848171
A_t0.3_s1.25_fixed_r1.5,1395,375,40.64516129032258,0.8497215010203751,-11759.155199999892,-8.429501935483794,-0.07337809835306916,-31.357747199999707,-54.96529835958249,-8.4184943462498,-130.2057884345532,-2.147567052384857
A_t0.2_s0.8_fixed_r1.5,4880,386,38.68852459016394,0.8909733391825668,-14207.198872000214,-2.911311244262339,-0.050614387018387885,-36.8062146943011,-55.26973207564916,-18.77934270414486,-154.49284024336586,-3.186531248202469
A_t0.2_s1_fixed_r1.5,3683,386,38.98995384197665,0.8849728353020144,-13919.67982000007,-3.779440624490923,-0.055306616074689494,-36.061346683938034,-56.216236938471695,-16.501412293394594,-142.20210117375035,-2.8569232421876056
A_t0.2_s1_fixed_r1.0,4590,386,47.66884531590414,0.8875705882396044,-14487.124720000067,-3.1562363224401015,-0.0449584481305936,-37.53141119171005,-56.75772154404147,-19.10449672927506,-148.22117489384968,-3.1933014328841303
A_t0.2_s0.6_vwap_static,4108,386,24.31840311587147,0.8638259317860187,-13977.373031104627,-3.4024763951082346,-0.08245203374304394,-36.21081096141098,-56.787843281056816,-16.121418752365543,-145.77713612791854,-2.8259830413014035
A_t0.2_s0.8_fixed_r1.0,6051,386,48.00859362088911,0.8893504868456406,-15160.32118400037,-2.5054240925467477,-0.040971006084510736,-39.27544348186627,-56.91941701140058,-22.12237833575185,-155.69013916407994,-3.6066145633722013
A_t0.2_s0.8_vwap_static,3343,386,29.85342506730482,0.8619558715995764,-14116.894187251048,-4.222822072166033,-0.07914785628071114,-36.572264733811025,-57.9570847181603,-15.658009200286077,-151.25193995625202,-2.7037463021245784
A_t0.2_s1_vwap_static,2847,386,34.7383210396909,0.8616920580769436,-13873.510979132316,-4.873028092424417,-0.07547650337660114,-35.941738287907576,-57.976305508703945,-14.784840043028305,-145.1516928483044,-2.622141020761738
A_t0.2_s0.6_fixed_r1.5,6834,386,38.39625402399766,0.8823033556851028,-16357.698134000586,-2.393575963418289,-0.05310976747938065,-42.377456305701024,-59.51560071023391,-25.68881206023387,-162.71545303713944,-3.9639522050315183
A_t0.2_s1.25_fixed_r1.5,2781,386,38.978784609852575,0.8702226839336272,-14507.017249999531,-5.216475098885125,-0.06300621190332391,-37.58294624352211,-60.16606282707096,-14.759566381962545,-148.9838463085627,-2.6412538202305322
A_t0.2_s1.25_vwap_static,2411,386,39.61012028204065,0.8478919384561583,-14663.615773831003,-6.08196423634633,-0.07687149357166724,-37.9886419011166,-60.608688326431185,-15.84031830024962,-152.07141742006496,-2.6763671441330383
A_t0.2_s0.6_fixed_r1.0,8376,386,47.48089780324737,0.8646391862164227,-19641.104504000527,-2.344926516714485,-0.050234016342361194,-50.88369042487184,-67.39871919715155,-34.87960950673677,-194.7653525365704,-4.9868704276130895
