param,session,side,entry_time,exit_time,bars_held,entry_price,exit_price,stop_price,target_price,range_size,range_pct,exit_reason,price_pnl,risk_price,pnl,weekday,date,hour,rng,tgt,trail_vol,scale,pnl_vt
h05_r60_t2,1705449600000000000,-1,1705471310000000000,1705477925000000000,1322,2019.386,2025.5014999999999,2025.5014999999999,2007.1550000000002,6.115499999999884,0.3026379308680982,sl,-6.115499999999884,6.115499999999884,-12.370999999999768,Wednesday,2024-01-17,5,60,2.0,0.7614690848889771,1.0710166802771393,-13.249547351708241
h06_r30_t3,1705449600000000000,1,1705476405000000000,1705500685000000000,4852,2020.8780000000002,2017.6525000000001,2017.6525000000001,2030.5545000000002,3.225500000000011,0.15985271050825337,sl,-3.225500000000011,3.225500000000011,-6.5910000000000215,Wednesday,2024-01-17,6,30,3.0,0.7614690848889771,1.0710166802771393,-7.059070939706648
h13_r60_t2,1705449600000000000,-1,1705500660000000000,1705535995000000000,6247,2019.1025,2009.679,2028.779,1999.7495,9.676500000000033,0.47843956465040544,session_end,9.423499999999876,9.676500000000033,18.706999999999752,Wednesday,2024-01-17,13,60,2.0,0.7614690848889771,1.0710166802771393,20.035509037944177
h01_r60_t3,1705536000000000000,-1,1705545130000000000,1705558945000000000,2757,2009.4155,2012.1365,2012.1365,2001.2525,2.7210000000000036,0.13526024921986768,sl,-2.7210000000000036,2.7210000000000036,-5.582000000000007,Thursday,2024-01-18,1,60,3.0,0.7627926937584864,1.069158236706551,-5.968041277295976
h02_r15_t3,1705536000000000000,-1,1705544270000000000,1705546800000000000,506,2010.854,2007.593,2011.941,2007.593,1.086999999999989,0.054045668838768345,tp,3.2609999999999673,1.086999999999989,6.381999999999935,Thursday,2024-01-18,2,15,3.0,0.7627926937584864,1.069158236706551,6.8233678666611395
h05_r60_t2,1705536000000000000,1,1705557725000000000,1705580950000000000,4645,2009.4855,2016.8225,2005.817,2016.8225,3.6684999999999945,0.18257947445380415,tp,7.336999999999989,3.6684999999999945,14.533999999999978,Thursday,2024-01-18,5,60,2.0,0.7627926937584864,1.069158236706551,15.53914581229299
h06_r30_t3,1705536000000000000,1,1705560925000000000,1705568510000000000,1517,2013.0014999999999,2008.877,2008.877,2025.3749999999995,4.124499999999898,0.20498484170766354,sl,-4.124499999999898,4.124499999999898,-8.388999999999797,Thursday,2024-01-18,6,30,3.0,0.7627926937584864,1.069158236706551,-8.96916844773104
h13_r60_t2,1705536000000000000,1,1705592140000000000,1705622395000000000,5250,2015.087,2023.592,2007.5104999999999,2030.2400000000002,7.576500000000124,0.3771000500958552,session_end,8.50500000000011,7.576500000000124,16.870000000000218,Thursday,2024-01-18,13,60,2.0,0.7627926937584864,1.069158236706551,18.03669945323975
h01_r60_t3,1705622400000000000,-1,1705635130000000000,1705648820000000000,2718,2022.1435000000001,2025.6075,2025.6075,2011.7515000000003,3.463999999999942,0.17113829693679944,sl,-3.463999999999942,3.463999999999942,-7.067999999999883,Friday,2024-01-19,1,60,3.0,0.7447325518162503,1.0950858659830478,-7.740066900768054
h02_r15_t3,1705622400000000000,1,1705631780000000000,1705634470000000000,537,2024.243,2022.6444999999999,2022.6444999999999,2029.0385,1.5985000000000582,0.07900266365252559,sl,-1.5985000000000582,1.5985000000000582,-3.3370000000001165,Friday,2024-01-19,2,15,3.0,0.7447325518162503,1.0950858659830478,-3.6543015347855583
