session_date,weekday,bars,ticks,open,high,low,close,range_pct,ret_pct,trendiness,realized_vol_pct,avg_spread,median_spread
2025-01-07,Tuesday,276,170916,2634.7155,2664.3435,2633.0075,2649.8865,1.1893504251218106,0.5758116957978886,0.4841396476895489,0.8243814351284936,0.0369998166034993,0.0369999999998071
2025-01-08,Wednesday,275,162457,2649.8965,2670.1325,2645.2825000000003,2662.5865000000003,0.9377724752645792,0.4788866282136118,0.5106639839034522,0.7722283156351252,0.0369999999999988,0.0369999999998071
2025-01-09,Thursday,276,135987,2662.6065,2678.4305,2655.5165,2670.0325000000003,0.8605852948980715,0.2788996421363948,0.32408134764774,0.6115776722500392,0.0369999389611183,0.0369999999998071
2025-01-10,Friday,264,273982,2670.0515,2698.1055,2664.0695,2689.6315,1.2747319667804011,0.7333191887871798,0.5752732400987236,0.907548989885045,0.0370022179974679,0.0369999999998071
2025-01-13,Monday,276,263765,2691.2085,2693.4355,2656.8475,2668.1375,1.3595379176306923,-0.857272857156921,0.6305619328741607,0.7361254916559411,0.037000000000001,0.0369999999998071
2025-01-14,Tuesday,276,201750,2668.0495,2678.3735,2659.8825,2675.6695,0.6930531086473465,0.2856018975659893,0.4120923692607158,0.6042019918590584,0.0370001217359537,0.0369999999998071
2025-01-15,Wednesday,276,219146,2675.6605,2698.3425,2669.4625,2695.0445,1.0793596571762245,0.724456634165658,0.6711911357340805,0.7000442835565547,0.0386210994636799,0.0369999999998071
2025-01-16,Thursday,276,245187,2695.0625,2724.7935,2689.9865,2714.6575000000003,1.2915099371535832,0.7270703369587999,0.5629614732668823,0.6781814107363272,0.0369999393056558,0.0369999999998071
2025-01-17,Friday,264,165260,2714.7025000000003,2717.3995,2699.3225,2702.9595,0.6658924872983234,-0.4325704197789773,0.6496100016595974,0.5697839663339266,0.0369999364676003,0.0369999999998071
2025-01-20,Monday,242,143593,2696.5035,2713.8505,2689.4475,2710.5245,0.9049867726854348,0.5199696570021209,0.5745605048559728,0.5939676278213962,0.0476749011172027,0.0369999999998071
2025-01-21,Tuesday,276,169520,2710.5135,2746.0435,2702.8845,2744.3385,1.592281314961156,1.2479185217118387,0.7837299288676775,0.6910762016334349,0.0370001825483753,0.0369999999998071
2025-01-22,Wednesday,276,221066,2744.3895,2763.5095,2742.7925,2755.6635,0.754885558336384,0.4108017466179429,0.54419076121057,0.6096069782179531,0.0370000608902159,0.0369999999998071
2025-01-23,Thursday,276,234981,2755.6445000000003,2759.0415000000003,2735.8495000000003,2754.6235,0.8416179953546259,-0.0370512234071064,0.0440238013108244,0.6540440387093432,0.0369998781156695,0.0369999999998071
2025-01-24,Friday,264,222213,2754.6265000000003,2786.0925,2754.4175,2771.1585,1.1498836593636097,0.6001539591665039,0.5219258089976272,0.661420008164083,0.0369998732894079,0.0369999999998071
2025-01-27,Monday,276,279560,2767.6335,2772.6505,2730.5315,2741.7895,1.5218416744847063,-0.933794160245569,0.6135948146917126,0.8240743609679422,0.0370001822157414,0.0369999999998071
2025-01-28,Tuesday,276,205227,2741.8235,2765.1315,2734.8415,2762.7825000000003,1.104739236497169,0.7644182785653522,0.6919445361505551,0.4934624554873758,0.0369998782714556,0.0369999999998071
2025-01-29,Wednesday,276,226723,2762.7795,2766.3515,2744.8085,2760.3835,0.7797582108886962,-0.0867242572199385,0.1112194216218617,0.654848557114209,0.037024291006254,0.0369999999998071
2025-01-30,Thursday,275,234640,2760.3225,2798.5555,2758.7135,2796.2255,1.443382068580758,1.3006813515449658,0.9011344812007356,0.6059545705741842,0.0370587268743929,0.0369999999998071
2025-01-31,Friday,264,294584,2796.2635,2817.3235,2791.0805,2799.4275,0.9385023979320952,0.113150995962997,0.1205654841290922,0.6897394664221336,0.0370050604086314,0.0369999999998071
2025-02-03,Monday,276,392150,2793.8065,2830.7185,2772.1945,2814.1065,2.094776427787676,0.7266072292408291,0.3468662429088958,0.9460630059887412,0.0369999393240717,0.0369999999998071
2025-02-04,Tuesday,276,312002,2814.0695,2845.5885,2807.2475,2841.2895,1.362475233820625,0.9672824356328016,0.7099449675282302,0.750893448861264,0.0369998785597183,0.0369999999998071
2025-02-05,Wednesday,276,290375,2841.3445,2882.5335,2839.7625,2869.3625,1.5053084903995335,0.9860824690564636,0.6550700240817354,0.8982998501745951,0.0369998785080768,0.0369999999998071
2025-02-06,Thursday,276,289667,2869.3565,2873.4105,2834.1315,2858.0765,1.3689132040581224,-0.3931195025783567,0.2871763537768209,0.8538201862648996,0.0369997571194352,0.0369999999998071
2025-02-07,Friday,264,273338,2858.0695,2886.8305,2852.4695,2861.0905,1.2022450818638202,0.1057007186144418,0.0879194435551991,0.8591459503592466,0.0369998098979798,0.0369999999998071
2025-02-10,Monday,276,259355,2867.6195,2921.7555,2865.9105,2917.9275,1.947434099956436,1.754347116135875,0.9008505685379132,0.8067787607056456,0.0369999393902674,0.0369999999998071
2025-02-11,Tuesday,276,361176,2917.9745000000003,2942.7615,2881.8125,2898.6155,2.088743407456099,-0.6634396565151743,0.3176262120789571,1.2036740211195749,0.0370005470459506,0.0369999999998071
2025-02-12,Wednesday,276,269854,2898.6415,2909.3465,2864.1875,2905.8605,1.557936709317094,0.249047700448643,0.1598573927677784,1.029027443732284,0.0370098187768961,0.0369999999998071
2025-02-13,Thursday,276,228173,2905.8355,2932.5645,2901.5345,2931.2975,1.0678512255769537,0.8762368000528431,0.8205607476635312,0.7103108735692514,0.037000060628106,0.0369999999998071
2025-02-14,Friday,264,290296,2931.2715,2940.0855,2877.0715,2882.8525,2.1497155756469546,-1.6518087799100107,0.7683848033770238,0.9732851876038172,0.0369996834240843,0.0369999999998071
2025-02-17,Monday,242,173741,2879.3335,2906.5685000000003,2879.3335,2899.4525000000003,0.9458786208683568,0.6987380933817009,0.7387185606756074,0.6435976060753652,0.0370000693914349,0.0369999999998071
2025-02-18,Tuesday,276,167342,2899.4055,2937.0745,2892.0825,2934.1405,1.551766387971594,1.198004211553028,0.7720261379800928,0.5923784400034796,0.0370000609310213,0.0369999999998071
