cfg,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
GEO_2026_NO_H13  r60 t3 s1.0,0.19,-4711.895499999962,-20.34086799999987,58.43373493975904,114.0,95.0,81.70103092783505,5917.770857831319,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.2,-4959.88999999996,-21.41143999999986,62.34939759036144,113.0,90.5,82.85024154589372,6885.226674698753,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.21,-5207.884499999957,-22.482011999999845,76.05421686746988,108.0,78.0,87.12871287128714,7782.280496385508,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.22,-5455.878999999956,-23.552583999999825,76.95783132530121,105.0,76.0,87.08414872798434,8950.786197590312,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.23,-5703.873499999954,-24.623155999999845,76.95783132530121,104.0,73.5,87.47553816046967,9609.720905421633,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.24,-5951.867999999952,-25.693727999999844,76.50602409638554,102.5,72.0,87.4015748031496,10297.06740722889,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.25,-6199.862499999951,-26.764299999999828,75.30120481927712,103.0,70.5,87.2,10835.498358433666,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.26,-6447.856999999948,-27.834871999999795,73.64457831325302,101.0,69.0,86.9120654396728,11359.642630120432,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.27,-6695.851499999945,-28.905443999999815,72.28915662650603,97.0,61.5,96.04166666666667,11275.105158433676,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.28,-6943.845999999945,-29.976015999999795,71.08433734939759,92.5,57.5,95.76271186440678,11902.797925301154,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.29,-7191.840499999942,-31.046587999999776,70.93373493975903,87.0,50.5,94.69214437367303,12495.71735722887,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.3,-7439.834999999941,-32.117159999999764,71.08433734939759,84.0,45.0,93.4322033898305,13051.507897590347,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.31,-7687.829499999937,-33.187731999999805,70.63253012048193,78.0,44.0,91.68443496801706,13558.473678915634,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.32,-7935.823999999936,-34.25830399999981,69.87951807228916,77.5,43.5,91.16379310344827,13959.82548433728,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.33,-8183.818499999934,-35.32887599999976,69.12650602409639,74.0,42.5,89.32461873638344,14359.966758433686,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.34,-8431.812999999933,-36.39944799999979,69.42771084337349,72.0,38.0,88.72017353579176,14911.553768674607,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.35,-8679.80749999993,-37.47001999999976,68.52409638554217,70.0,36.5,97.14285714285714,11450.19958734934,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.36,-8927.801999999927,-38.54059199999978,67.92168674698796,68.0,35.5,96.89578713968959,11634.691250602351,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.37,-9175.796499999926,-39.61116399999973,65.51204819277109,69.0,34.0,97.93103448275862,11455.511669277052,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.38,-9423.790999999925,-40.68173599999974,65.21084337349397,68.0,32.0,97.92147806004618,11900.728289156552,4501.0
GEO_2026_NO_H13  r60 t3 s1.0,0.39,-9671.785499999922,-41.752307999999715,64.90963855421687,66.0,31.0,97.91183294663574,12392.482143975825,4501.0
