,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2024-05-17,4433.449999999988,-662.1500000000615,5306.650000000014,-511.20000000002074
2024-05-20,1160.1500000000906,-1877.9499999999443,-2550.6499999999887,-3853.9000000000015
2024-05-21,-5597.6499999998905,-5597.6499999998905,-5627.849999999875,-5627.849999999875
2024-05-22,2772.999999999951,-1688.500000000031,1455.3500000000222,-2172.20000000003
2024-05-23,12372.19999999997,-1201.2000000000135,11426.850000000173,0.0
2024-05-24,-1895.4000000001597,-2139.200000000141,-2398.900000000116,-2417.2000000000735
2024-05-27,586.949999999837,-1099.7999999999683,626.649999999905,-1106.0499999999683
2024-05-28,-1169.9000000000287,-1169.9000000000287,-1806.199999999937,-2179.2999999999756
2024-05-29,183.7500000000491,-1134.4499999999462,1489.9500000000226,-1647.8000000000775
2024-05-30,-761.6500000001051,-2273.100000000106,452.44999999988613,-1309.950000000039
2024-05-31,1993.200000000019,-1004.8500000000258,-2284.3499999999713,-2822.4000000000087
2024-06-03,1422.4999999999854,-1765.9000000000942,368.05000000001746,-2516.8000000000666
2024-06-04,1010.650000000056,-1146.849999999975,1917.2500000000946,-1129.949999999959
2024-06-05,1050.6499999999287,-468.30000000003747,685.3999999999432,-1259.899999999996
2024-06-06,-1235.399999999987,-2610.949999999979,-2837.799999999992,-3688.5999999999894
2024-06-07,2705.5499999999884,-1463.9999999999964,1657.74999999992,-3546.4000000000487
2024-06-10,-1829.2999999999265,-3196.399999999925,-1627.2999999999902,-2994.3999999999887
2024-06-11,35.34999999994943,-1514.7000000000353,1084.0499999998665,-811.1500000000688
2024-06-12,-708.7999999999338,-2448.5499999999993,-1144.6499999999778,-1594.5000000000255
2024-06-13,-2681.9000000000633,-2681.9000000000633,-3385.0999999999585,-3385.0999999999585
2024-06-14,3685.6999999999007,0.0,5664.29999999989,-291.60000000000036
2024-06-17,-1547.9499999999516,-2156.0999999999785,-1870.6499999999542,-2260.7499999999545
2024-06-18,1879.5999999999312,-1140.549999999981,1205.3499999997948,-1131.6000000000386
2024-06-19,-1671.0999999999385,-1815.8499999999312,-1449.3499999999349,-1594.0999999999276
2024-06-20,2606.049999999863,-1615.6500000000597,-222.60000000016953,-2237.4000000001543
2024-06-21,2771.9000000003016,-1218.0499999999447,-2017.8000000000102,-2708.4500000000317
2024-06-24,802.0999999999221,-1140.850000000055,1004.3500000000004,-1036.8000000000357
2024-06-25,-3980.2500000000746,-3980.2500000000746,-2881.0500000000266,-2881.8999999999887
2024-06-26,-3116.800000000063,-3116.800000000063,213.19999999993888,-2705.70000000005
2024-06-27,-149.04999999994834,-1287.3499999999785,92.04999999999563,-1409.0499999999884
2024-06-28,2610.700000000128,0.0,-776.25000000002,-1140.8000000000484
2024-07-01,-518.5000000000455,-518.5000000000455,-1681.2999999999574,-2425.899999999965
2024-07-02,-1519.5999999999967,-1519.5999999999967,-1510.5499999999429,-1733.7499999999727
2024-07-03,1411.0500000001084,-732.4999999999782,4388.2499999999945,-519.849999999964
2024-07-04,210.24999999994543,0.0,136.19999999998618,-288.9500000000062
2024-07-05,1268.999999999818,-544.0000000001801,-195.24999999991815,-842.9499999999207
2024-07-08,5173.100000000062,-578.6500000000124,8873.750000000133,-645.0500000000047
2024-07-09,-2413.649999999967,-2413.649999999967,-2321.29999999995,-2321.29999999995
2024-07-10,-659.5000000000309,-1292.049999999981,56.000000000063665,-875.4999999999618
2024-07-11,-871.0499999999283,-871.0499999999283,1415.3999999999778,-582.3500000000095
2024-07-12,189.14999999987594,-613.4000000000724,870.0999999999804,-805.7000000000371
2024-07-15,-60.89999999995234,-2521.2999999999665,-3660.450000000059,-3660.450000000059
2024-07-16,6905.600000000044,-959.9499999999771,6444.300000000045,-430.3499999999822
2024-07-17,-1858.3500000000695,-2293.5500000000266,-4814.7500000000255,-4968.150000000007
2024-07-18,-3745.6499999999833,-3745.6499999999833,-74.00000000009095,-1592.7000000000971
2024-07-19,4027.8000000000484,-289.4999999999818,5756.600000000033,-616.7999999999956
2024-07-22,287.14999999987776,-2126.0999999999603,-461.24999999999454,-2498.549999999941
2024-07-23,1263.2000000000462,0.0,-787.9000000000578,-2636.1999999999716
2024-07-24,-2846.549999999803,-2846.549999999803,-1140.7499999999563,-3187.4999999999472
2024-07-25,-2494.500000000022,-3554.55000000001,-3675.550000000043,-3705.950000000039
2024-07-26,1531.3000000000502,-2127.150000000038,-282.3499999999276,-2266.249999999971
2024-07-29,682.7999999999756,-1451.149999999925,-2576.8999999999705,-2576.8999999999705
2024-07-30,-666.0999999997839,-2445.299999999974,2039.6500000003707,-1097.800000000003
2024-07-31,2431.4500000001717,-1208.0999999999603,6333.999999999856,-722.4499999999935
2024-08-01,-1840.1999999999189,-1981.949999999937,-3270.3000000000357,-3270.3000000000357
2024-08-02,-1519.6500000001888,-1519.6500000001888,-6819.650000000023,-6819.650000000023
2024-08-05,-59.94999999971333,-4849.499999999862,1803.650000000267,-5522.299999999914
2024-08-06,594.0500000000102,-1138.6999999998898,-2159.0000000000528,-4125.599999999966
2024-08-07,-2424.6499999998887,-2424.6499999998887,-2747.7499999999272,-3119.6499999999814
2024-08-08,7751.599999999684,0.0,8096.44999999971,-375.3999999999287
2024-08-09,-787.3999999999851,-2331.3999999999323,-1900.700000000028,-2861.100000000042
2024-08-12,3620.7999999998665,-786.4999999999909,6324.9499999999225,-816.0999999999731
2024-08-13,-2088.2499999999764,-2583.3500000000113,-2393.7999999999574,-2783.5999999999585
2024-08-14,-1875.649999999956,-2023.0499999999429,-2410.8999999999687,-2410.8999999999687
2024-08-15,4182.500000000113,0.0,2026.4500000000007,-880.8999999999869
2024-08-16,-3179.299999999972,-3179.299999999972,-911.6999999999498,-2058.1999999999807
2024-08-19,-2496.700000000077,-2496.700000000077,-2996.600000000073,-2996.600000000073
2024-08-20,897.2999999998538,-1703.4000000001106,813.999999999829,-2246.8000000000393
2024-08-21,-1965.2000000000553,-2480.7000000000626,-55.599999999889405,-1755.7000000000044
2024-08-22,2708.6999999999935,-1303.5000000000564,3489.6000000001623,-736.2999999999174
2024-08-23,-1094.5999999999058,-1176.3999999999305,2733.2000000000116,-1044.5999999998967
2024-08-26,88.19999999998436,-965.4000000000415,-611.099999999964,-1535.400000000007
2024-08-27,-429.3999999999469,-2340.999999999978,-2380.69999999991,-2992.399999999945
2024-08-28,2311.5999999998567,-173.10000000000582,3887.599999999862,-0.8000000000392902
2024-08-29,132.19999999991524,-999.6000000000058,-2921.799999999961,-2921.799999999961
2024-08-30,2072.350000000137,-689.5500000000502,-1723.9999999999545,-2040.8999999999578
2024-09-02,-1888.6999999999316,-1888.6999999999316,-1374.9000000000178,-1549.9999999999964
2024-09-03,-2189.900000000085,-2189.900000000085,-615.0000000000309,-1290.3000000000175
2024-09-04,-1907.4000000000124,-1907.4000000000124,1543.3000000000065,-617.7000000000262
2024-09-05,477.19999999995525,-676.1000000000095,837.4500000000589,-591.799999999901
2024-09-06,-228.39999999992506,-1136.9999999999654,-2217.4999999999036,-2217.4999999999036
2024-09-09,-1754.5499999999029,-2966.499999999898,286.70000000004256,-1377.0999999999367
2024-09-10,-2176.8499999999276,-2176.8499999999276,-1167.9499999999953,-1881.8000000000138
2024-09-11,959.9999999998327,-429.50000000002,613.2999999999429,-583.9999999999818
2024-09-12,84.34999999985303,-1596.300000000132,-210.34999999990214,-1584.4000000000597
2024-09-13,2494.1999999999043,-507.00000000002547,4986.849999999937,-832.6499999999796
2024-09-16,-400.45000000005166,-587.1000000000313,-1549.4500000000626,-1736.1000000000422
2024-09-17,-1397.3499999999658,-2326.4999999999636,-1263.699999999948,-2368.599999999933
2024-09-18,-545.1500000000178,-1502.2999999999938,-711.00000000008,-2104.4000000000124
2024-09-19,8573.599999999846,0.0,8400.599999999828,-267.5000000000473
2024-09-20,5542.650000000089,-150.6000000000604,6447.400000000222,-251.00000000005093
2024-09-23,-979.3000000001084,-979.3000000001084,-3003.6000000000276,-3003.6000000000276
2024-09-24,323.49999999987085,-2511.6000000000367,-626.199999999948,-1646.6499999999469
2024-09-25,-3977.250000000009,-3977.250000000009,-2834.3500000000167,-2843.050000000003
2024-09-26,-335.70000000000255,-952.299999999841,3511.2000000000317,-1047.6499999999269
2024-09-27,-430.65000000001965,-3153.3500000000386,-4213.950000000044,-4213.950000000044
2024-09-30,-1653.3500000000222,-1975.100000000013,-1298.7999999999302,-1966.9999999999873
2024-10-01,1304.3499999998348,-793.8500000000167,821.4499999999371,-1259.7500000000728
2024-10-02,-1584.050000000001,-2700.450000000039,-3110.75,-3110.75
2024-10-03,581.9500000000462,-194.10000000011314,2673.3499999999603,-696.6000000000022
2024-10-04,2721.199999999886,-179.5500000000011,2285.1999999999643,0.0
2024-10-07,-1212.4500000001772,-1608.300000000063,-1915.3000000001375,-2449.5000000000437
2024-10-08,-899.9499999998588,-3772.4499999999734,-3366.250000000029,-3366.250000000029
2024-10-09,-1745.8999999998978,-2664.0999999999094,-2373.94999999999,-3123.0999999999694
2024-10-10,-3276.149999999967,-3276.149999999967,-3749.2499999999145,-3749.2499999999145
2024-10-11,1794.1000000001113,-912.7999999998428,2247.6000000000804,-686.2999999998719
2024-10-14,677.6999999999534,-804.2000000000498,-1851.049999999963,-2030.3499999999622
2024-10-15,3184.4999999998836,-1149.1499999999887,1659.7499999999636,-1429.0499999999865
2024-10-16,-1446.9500000000662,-1990.6000000000622,1303.6000000001204,0.0
2024-10-17,-2327.1000000000695,-2977.350000000046,-4423.950000000081,-4423.950000000081
2024-10-18,2201.300000000123,-953.8999999999396,239.25000000006185,-1485.3999999999905
2024-10-21,-2790.899999999925,-2790.899999999925,-3276.1999999999935,-3530.249999999971
