rule,portfolio,trades,win_rate,pf,gross,swap,net,per_trade,held_at_roll,maxDD,sharpe
halt-75m,TUNED,4501,34.547878249277936,1.190603753691361,11609.50499999999,0.0,11609.50499999999,2.579316818484779,0,-2254.9019999999873,1.797547825097115
halt-90m,ORIGINAL,5192,37.557781201849,1.1850978207321101,11105.209000000039,0.0,11105.209000000039,2.1389077426810554,0,-1326.288999999997,2.3472078123985574
halt-90m,TUNED,4501,34.63674738946901,1.1962112010153914,11924.421999999986,0.0,11924.421999999986,2.649282826038655,0,-2156.168999999987,1.8498912612008376
halt-105m,ORIGINAL,5192,37.634822804314325,1.1798592533924637,10772.468000000028,0.0,10772.468000000028,2.074820493066261,0,-1296.046999999995,2.2907653912852903
halt-105m,TUNED,4501,34.814485669851145,1.191818599178058,11637.071999999993,0.0,11637.071999999993,2.5854414574538978,0,-2097.0719999999856,1.8197606632165144
halt-120m,ORIGINAL,5192,37.538520801232664,1.1759838122786632,10505.810000000029,0.0,10505.810000000029,2.0234610939907607,0,-1317.1369999999952,2.2300797501440273
halt-120m,TUNED,4501,34.658964674516774,1.1862327623377575,11231.49899999997,0.0,11231.49899999997,2.495334147967112,0,-2123.097999999989,1.748856394830584
halt-150m,ORIGINAL,5192,37.59630200308167,1.1661783092988522,9856.611000000015,0.0,9856.611000000015,1.8984227657935315,0,-1460.996999999992,2.107365579467998
halt-150m,TUNED,4496,34.630782918149464,1.1819112517034713,10872.540999999954,0.0,10872.540999999954,2.4182697953736554,0,-2139.932999999992,1.6851059680478981
halt-180m,ORIGINAL,5192,37.98151001540832,1.174595674549132,10229.570000000043,0.0,10229.570000000043,1.9702561633282056,0,-1239.7819999999829,2.1981639176982806
halt-180m,TUNED,4486,34.70798038341507,1.187340298849148,11027.86499999999,0.0,11027.86499999999,2.458284663397234,0,-1822.4429999999793,1.7239320901730708
backtest_2150,ORIGINAL,5192,37.422958397534664,1.196823451008004,11919.888000000039,0.0,11919.888000000039,2.2958181818181895,0,-1361.6189999999915,2.475438914785757
backtest_2150,TUNED,4501,34.32570539880027,1.2137938296807864,13137.806999999983,0.0,13137.806999999983,2.9188640302155036,0,-2050.4629999999725,1.9998943140233307
ea_live_2150,ORIGINAL,5192,37.326656394453,1.1928848278213386,12042.375000000018,-337.91999999999996,11704.45500000002,2.2543249229584013,371,-1361.6189999999915,2.424801671920467
ea_live_2150,TUNED,4501,34.125749833370364,1.2083604763799347,13296.074999999977,-462.95040000000006,12833.124599999976,2.8511718729171243,535,-2044.5061999999743,1.957637086034352
utc_2357,ORIGINAL,5192,37.057010785824346,1.1986141927625211,12585.74300000002,-423.52639999999997,12162.216600000018,2.342491640986136,465,-1378.5393999999942,2.4753029546549015
utc_2357,TUNED,4501,33.41479671184182,1.2025413358631452,13386.626999999986,-628.5312,12758.095799999988,2.834502510553208,711,-2261.0069999999923,1.884446990211091
