label,rng,tgt,stop,net_o,maxDD_o,rdd_o,pf_o,sharpe_o,worst_o,net_i,maxDD_i,rdd_i,pf_i,sharpe_i,worst_i,y2020,y2021,y2022,y2023
r15 t4 s1.5,15,4.0,1.5,-1868.9679999999962,-2011.978499999987,-0.928920463116285,0.9403744250332423,-0.852903363535733,-112.49549999999998,10989.751500000062,-1623.9235000000444,6.767407146949817,1.1941157436258776,2.121330722679633,-813.1069999999986,-1034.4410000000166,-308.81100000000947,-42.058999999980045,-483.65699999998986
r15 t4 s2,15,4.0,2.0,-2311.6959999999895,-2443.0269999999746,-0.9462425098044408,0.9370042880596123,-0.9555037889088402,-169.55999999999995,11184.60600000007,-2089.5020000000222,5.352761567110226,1.1695092071066597,1.9042545206410075,-1083.8159999999955,-1207.6050000000128,-126.78600000000071,-270.86699999998206,-706.4379999999942
r15 t5 s1,15,5.0,1.0,-1538.0189999999902,-1709.0230000000079,-0.8999404923163604,0.9381071002754002,-0.7814209903476846,-70.98700000000098,11963.603000000065,-874.8649999999861,13.674798968984076,1.2696391743457462,2.6505110726796923,-542.3979999999979,-679.3829999999978,-223.12600000002658,-115.70199999996782,-519.8079999999977
r15 t5 s1.5,15,5.0,1.5,-2287.9820000000263,-2530.669500000013,-0.9041014640592201,0.9295937103547999,-0.9445234252057229,-108.10249999999995,12335.414500000086,-1536.3695000000216,8.028937374765583,1.2123314703558365,2.3098476479740246,-813.1069999999986,-1169.4520000000139,-451.439500000026,27.959500000024548,-695.0500000000113
r15 t5 s2,15,5.0,2.0,-2714.5820000000163,-2947.0530000000063,-0.9211174688748422,0.9291298967588628,-1.012823566519244,-165.16699999999992,13417.938000000091,-1818.152000000001,7.379986931785727,1.1975932913984393,2.1786886675469184,-1083.8159999999955,-1172.925000000011,-355.9050000000227,-243.64599999997796,-942.1060000000048
r15 tnone s1,15,99.0,1.0,485.8840000000062,-1347.1039999999998,0.3606878162339406,1.0187389935159177,0.13441288220693476,-90.86399999999956,14293.736000000015,-1745.6409999999987,8.188244891131697,1.309337130916753,2.167611911694931,-542.3979999999979,377.47700000000054,-72.47799999998301,514.7229999999887,-333.83799999999974
r15 tnone s1.5,15,99.0,1.5,253.207499999984,-1619.0970000000102,0.15638809781006474,1.0073341806301015,0.05785189452725491,-137.246499999997,15884.04950000004,-2552.3485,6.223307475448607,1.2597694850649415,1.985625081488399,-813.1069999999986,366.8699999999899,-530.5049999999806,808.5504999999797,-391.7080000000049
r15 tnone s2,15,99.0,2.0,602.8089999999992,-1499.6370000000036,0.40196994339296627,1.0146442006733754,0.12205630358756232,-195.91800000000012,17824.001000000066,-2923.7730000000083,6.096232847078078,1.2478198934544156,1.9507642104414233,-1083.8159999999955,534.2729999999929,-476.4239999999726,816.7569999999798,-271.79700000000037
r30 t1 s1,30,1.0,1.0,-1815.9460000000086,-1921.3050000000142,-0.9451627929974653,0.9164856637354377,-1.4396112322232728,-92.65399999999998,5094.449,-737.1419999999966,6.911082260948397,1.1375188521756474,1.8299368239841491,-319.526000000002,-928.1730000000075,-643.3690000000095,-81.63499999999513,-162.7689999999963
r30 t1 s1.5,30,1.0,1.5,-2585.6935000000153,-2684.564500000038,-0.963170562674124,0.8993912037761638,-1.752480292408222,-127.90649999999913,4860.389500000023,-994.6775000000014,4.886397349894832,1.1116505667850916,1.5127790068916205,-269.93499999999443,-1379.4165000000057,-861.4605000000178,-215.13249999999707,-129.6839999999946
