replicate,candidate,windows,trades,days,win_rate,pf,net,per_trade,rr,maxDD,sharpe
rep2026_5,G_r15_t2,8,1208,152,36.258278145695364,1.1794317385919517,3737.2709999999242,3.0937673841058992,2.0734302253785453,-843.3879999999936,2.517372764162068
rep2026_5,G_r15_t3,8,1208,152,30.29801324503311,1.2397367906559513,5362.298999999926,4.438989238410537,2.852072070306861,-860.1739999999809,3.041200592465465
rep2026_5,G_r30_t1,8,1197,152,53.1328320802005,1.1271391322431905,2480.827999999966,2.0725380116958796,0.9942217817428144,-1041.4140000000043,2.0799933448229924
rep2026_5,G_r30_t2,8,1197,152,38.095238095238095,1.1721032769076973,4328.626999999975,3.616229741019196,1.9046678249750082,-1222.2700000000077,2.5082247647903944
rep2026_5,G_r30_t3,8,1197,152,34.25229741019214,1.3320984045533466,8721.91799999999,7.286481203007514,2.5569791326426436,-890.9189999999962,4.177474426941778
rep2026_5,G_r60_t1,8,1143,152,49.78127734033246,1.0528364164859574,1313.6359999999813,1.149287839020108,1.062088054592161,-1429.7900000000336,0.9000731690334987
rep2026_5,G_r60_t2,8,1143,152,41.20734908136483,1.3104299513980733,8636.892000000003,7.556335958005254,1.8696580198290982,-1074.1699999999946,3.937161024080204
rep2026_5,G_r60_t3,8,1143,152,37.882764654418196,1.3629928352356226,10600.246000000006,9.274055993000884,2.234930515051483,-1038.3369999999995,4.419526251820756
regime_2026,A_incumbent,8,1168,151,36.3013698630137,1.154919747808189,4009.81200000001,3.4330582191780916,2.0265572933238034,-1942.8139999999967,2.19149632364429
regime_2026,B_top8,8,1153,151,38.42150910667823,1.5046640150765567,12177.630999999954,10.561692107545493,2.4115382634409825,-699.401999999991,4.311369635340421
regime_2026,G_r15_t1,8,1200,151,51.5,1.1379830867623013,2089.2399999999493,1.7410333333332915,1.0716928098635266,-413.971000000005,2.4866272127416034
regime_2026,G_r15_t2,8,1200,151,38.166666666666664,1.299331269152365,5668.813999999989,4.72401166666666,2.105030134740294,-556.2510000000093,4.56234930539465
regime_2026,G_r15_t3,8,1200,151,31.0,1.3159683350411484,6637.967999999998,5.53164,2.929090810252879,-878.2949999999728,3.969026386453508
regime_2026,G_r30_t1,8,1193,151,53.56244761106454,1.1575933525686608,3041.754999999966,2.549668901927885,1.0036098862645353,-736.0629999999928,2.5129363753842155
regime_2026,G_r30_t2,8,1193,151,38.809723386420785,1.1701729104537402,4221.961999999974,3.538945515507104,1.8449810467197199,-1105.1839999999956,2.4158794041896856
regime_2026,G_r30_t3,8,1193,151,33.78038558256497,1.3024498919246752,7919.363999999963,6.638192791282451,2.553189614442912,-1087.591999999997,3.46066150515864
regime_2026,G_r60_t1,8,1143,151,49.86876640419948,1.1104037712307315,2672.2459999999855,2.337923009623786,1.1162480016056302,-1470.7260000000006,1.7299288284523844
regime_2026,G_r60_t2,8,1143,151,37.62029746281715,1.2093771155948942,6092.435000000014,5.330214348206488,2.005316007951534,-1626.2469999999812,2.647495942652996
regime_2026,G_r60_t3,8,1143,151,34.29571303587052,1.2169336223844194,6621.134999999972,5.792769028871369,2.3314213020681094,-1950.7840000000087,2.6222876675527114
