,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,TUNED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL
,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all,none,none,none,real,real,real,fomc_wed,fomc_wed,fomc_wed,fomc_all,fomc_all,fomc_all,am_all,am_all,am_all,all_all,all_all,all_all
,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades,close,trough,trades
xt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-29,541.700000000038,-228.14999999998872,7.0,541.700000000038,-228.14999999998872,7.0,541.700000000038,-228.14999999998872,7.0,1190.5000000000437,-228.14999999998872,7.0,992.9499999999516,-228.14999999998872,7.0,1641.7499999999573,-228.14999999998872,7.0,-335.6999999999571,-431.44999999996253,8.0,-335.6999999999571,-431.44999999996253,8.0,-335.6999999999571,-431.44999999996253,8.0,-335.6999999999571,-431.44999999996253,8.0,1298.7000000000317,-431.44999999996253,7.0,1298.7000000000317,-431.44999999996253,7.0
2024-01-30,868.0499999999493,-676.3999999999796,7.0,868.0499999999493,-676.3999999999796,7.0,868.0499999999493,-676.3999999999796,7.0,1224.6499999999523,-676.3999999999796,7.0,868.0499999999493,-676.3999999999796,7.0,1224.6499999999523,-676.3999999999796,7.0,-449.9000000000078,-850.7499999999864,8.0,-449.9000000000078,-850.7499999999864,8.0,-449.9000000000078,-850.7499999999864,8.0,-449.9000000000078,-850.7499999999864,8.0,-449.9000000000078,-850.7499999999864,8.0,-449.9000000000078,-850.7499999999864,8.0
2024-01-31,-404.6500000000142,-742.1000000000013,7.0,174.50000000001273,-742.1000000000013,7.0,174.50000000001273,-742.1000000000013,7.0,174.50000000001273,-742.1000000000013,7.0,-1294.7999999999856,-1294.7999999999856,7.0,-715.6499999999587,-742.1000000000013,7.0,2712.250000000018,-199.10000000004038,7.0,2712.250000000018,-199.10000000004038,7.0,2712.250000000018,-199.10000000004038,7.0,2712.250000000018,-199.10000000004038,7.0,1186.4999999999854,-199.10000000004038,6.0,1186.4999999999854,-199.10000000004038,6.0
2024-02-01,2476.2999999999765,0.0,6.0,2476.2999999999765,0.0,6.0,2476.2999999999765,0.0,6.0,2547.9000000000115,0.0,6.0,2476.2999999999765,0.0,6.0,2547.9000000000115,0.0,6.0,3856.44999999999,0.0,8.0,3856.44999999999,0.0,8.0,3856.44999999999,0.0,8.0,3856.44999999999,0.0,8.0,2634.799999999951,0.0,7.0,2634.799999999951,0.0,7.0
2024-02-02,-1318.7499999999764,-1619.099999999973,7.0,-1123.9499999999898,-1424.2999999999865,7.0,-1318.7499999999764,-1619.099999999973,7.0,-1448.6499999999742,-1619.099999999973,7.0,-1123.9499999999898,-1424.2999999999865,7.0,-1253.8499999999876,-1424.2999999999865,7.0,1121.7499999998554,-1393.0999999999967,8.0,-686.700000000018,-1393.0999999999967,7.0,1121.7499999998554,-1393.0999999999967,8.0,991.8499999998576,-1393.0999999999967,8.0,-686.700000000018,-1393.0999999999967,7.0,-816.6000000000158,-1393.0999999999967,7.0
2024-02-05,3304.44999999993,-829.0499999999965,7.0,3304.44999999993,-829.0499999999965,7.0,3304.44999999993,-829.0499999999965,7.0,3304.5499999999047,-829.0499999999965,7.0,3374.9499999999452,-829.0499999999965,7.0,3504.0499999999392,-829.0499999999965,7.0,1022.8000000000011,-378.15000000001146,8.0,1022.8000000000011,-378.15000000001146,8.0,1022.8000000000011,-378.15000000001146,8.0,1022.8000000000011,-378.15000000001146,8.0,1022.8000000000011,-378.15000000001146,8.0,1022.8000000000011,-378.15000000001146,8.0
2024-02-06,-1516.00000000003,-1805.1000000000313,7.0,-1516.00000000003,-1805.1000000000313,7.0,-1516.00000000003,-1805.1000000000313,7.0,-1508.0000000000373,-1805.1000000000313,7.0,-1516.00000000003,-1805.1000000000313,7.0,-1508.0000000000373,-1805.1000000000313,7.0,-936.6499999999687,-1441.049999999972,8.0,-936.6499999999687,-1441.049999999972,8.0,-936.6499999999687,-1441.049999999972,8.0,-928.649999999976,-1441.049999999972,8.0,-936.6499999999687,-1441.049999999972,8.0,-928.649999999976,-1441.049999999972,8.0
2024-02-07,-1044.8499999999894,-1044.8499999999894,6.0,-1044.8499999999894,-1044.8499999999894,6.0,-1044.8499999999894,-1044.8499999999894,6.0,-1044.8499999999894,-1044.8499999999894,6.0,-1044.8499999999894,-1044.8499999999894,6.0,-1044.8499999999894,-1044.8499999999894,6.0,-143.35000000002492,-967.6500000000124,6.0,-143.35000000002492,-967.6500000000124,6.0,-143.35000000002492,-967.6500000000124,6.0,-143.35000000002492,-967.6500000000124,6.0,-143.35000000002492,-967.6500000000124,6.0,-143.35000000002492,-967.6500000000124,6.0
2024-02-08,-194.39999999997235,-1012.2499999999809,7.0,-194.39999999997235,-1012.2499999999809,7.0,-194.39999999997235,-1012.2499999999809,7.0,-393.2999999999756,-1012.2499999999809,7.0,-194.39999999997235,-1012.2499999999809,7.0,-393.2999999999756,-1012.2499999999809,7.0,-112.79999999993015,-760.8999999999687,8.0,-112.79999999993015,-760.8999999999687,8.0,-112.79999999993015,-760.8999999999687,8.0,-112.79999999993015,-760.8999999999687,8.0,-112.79999999993015,-760.8999999999687,8.0,-112.79999999993015,-760.8999999999687,8.0
2024-02-09,-936.099999999964,-1116.6999999999553,7.0,-936.099999999964,-1116.6999999999553,7.0,-936.099999999964,-1116.6999999999553,7.0,-899.0999999999749,-1116.6999999999553,7.0,-936.099999999964,-1116.6999999999553,7.0,-899.0999999999749,-1116.6999999999553,7.0,-1125.499999999981,-1197.2499999999718,6.0,-1125.499999999981,-1197.2499999999718,6.0,-1125.499999999981,-1197.2499999999718,6.0,-1088.4999999999918,-1197.2499999999718,6.0,-783.5999999999649,-855.3499999999558,5.0,-746.5999999999758,-855.3499999999558,5.0
2024-02-12,-1639.950000000037,-1639.950000000037,6.0,-1639.950000000037,-1639.950000000037,6.0,-1639.950000000037,-1639.950000000037,6.0,-1639.950000000037,-1639.950000000037,6.0,-1639.950000000037,-1639.950000000037,6.0,-1639.950000000037,-1639.950000000037,6.0,124.75000000000182,-389.5500000000111,6.0,124.75000000000182,-389.5500000000111,6.0,124.75000000000182,-389.5500000000111,6.0,16.24999999999818,-389.5500000000111,6.0,124.75000000000182,-389.5500000000111,6.0,16.24999999999818,-389.5500000000111,6.0
2024-02-13,263.6000000000886,-470.74999999994907,7.0,904.3500000000458,-470.74999999994907,7.0,263.6000000000886,-470.74999999994907,7.0,229.40000000007876,-470.74999999994907,7.0,904.3500000000458,-470.74999999994907,7.0,870.150000000036,-470.74999999994907,7.0,43.60000000004493,-63.949999999989814,6.0,810.550000000042,-63.949999999989814,6.0,43.60000000004493,-63.949999999989814,6.0,43.60000000004493,-63.949999999989814,6.0,810.550000000042,-63.949999999989814,6.0,810.550000000042,-63.949999999989814,6.0
2024-02-14,-1396.2500000000018,-1396.2500000000018,6.0,-1396.2500000000018,-1396.2500000000018,6.0,-1396.2500000000018,-1396.2500000000018,6.0,-1396.2500000000018,-1396.2500000000018,6.0,-1260.8000000000102,-1260.8000000000102,6.0,-1260.8000000000102,-1260.8000000000102,6.0,-847.9000000000487,-847.9000000000487,7.0,-847.9000000000487,-847.9000000000487,7.0,-847.9000000000487,-847.9000000000487,7.0,-847.9000000000487,-847.9000000000487,7.0,-843.4000000000415,-843.4000000000415,7.0,-843.4000000000415,-843.4000000000415,7.0
2024-02-15,78.90000000002237,-657.8999999999751,7.0,78.90000000002237,-657.8999999999751,7.0,78.90000000002237,-657.8999999999751,7.0,54.900000000021464,-657.8999999999751,7.0,78.90000000002237,-657.8999999999751,7.0,54.900000000021464,-657.8999999999751,7.0,-217.8000000000393,-563.349999999994,8.0,-217.8000000000393,-563.349999999994,8.0,-217.8000000000393,-563.349999999994,8.0,-217.8000000000393,-563.349999999994,8.0,75.39999999996871,-563.349999999994,7.0,75.39999999996871,-563.349999999994,7.0
2024-02-16,-80.19999999998981,-1100.5999999999785,7.0,-80.19999999998981,-1100.5999999999785,7.0,-80.19999999998981,-1100.5999999999785,7.0,-71.69999999998618,-1100.5999999999785,7.0,667.350000000034,-567.4999999999754,7.0,675.8500000000377,-567.4999999999754,7.0,-1092.9499999999334,-1092.9499999999334,8.0,-1092.9499999999334,-1092.9499999999334,8.0,-1092.9499999999334,-1092.9499999999334,8.0,-1092.9499999999334,-1092.9499999999334,8.0,-773.0999999999303,-773.0999999999303,7.0,-773.0999999999303,-773.0999999999303,7.0
2024-02-19,-2003.9499999999853,-2003.9499999999853,7.0,-2003.9499999999853,-2003.9499999999853,7.0,-2003.9499999999853,-2003.9499999999853,7.0,-2012.249999999971,-2012.249999999971,7.0,-2021.949999999969,-2021.949999999969,7.0,-2021.949999999969,-2021.949999999969,7.0,-1673.399999999975,-1673.399999999975,8.0,-1673.399999999975,-1673.399999999975,8.0,-1673.399999999975,-1673.399999999975,8.0,-1673.2999999999547,-1673.2999999999547,8.0,-1691.3999999999587,-1691.3999999999587,8.0,-1682.9999999999527,-1682.9999999999527,8.0
2024-02-20,2019.5499999999656,-344.5499999999938,6.0,2019.5499999999656,-344.5499999999938,6.0,2019.5499999999656,-344.5499999999938,6.0,2342.249999999952,-344.5499999999938,6.0,2009.5999999999622,-344.5499999999938,6.0,2009.5999999999622,-344.5499999999938,6.0,1724.7999999999993,-166.70000000001073,8.0,1724.7999999999993,-166.70000000001073,8.0,1724.7999999999993,-166.70000000001073,8.0,1724.699999999979,-166.70000000001073,8.0,1955.4500000000198,-166.70000000001073,7.0,1632.6500000000133,-166.70000000001073,7.0
2024-02-21,-94.900000000006,-945.7500000000136,7.0,-238.7000000000162,-945.7500000000136,7.0,-238.7000000000162,-945.7500000000136,7.0,-238.7000000000162,-945.7500000000136,7.0,21.79999999998563,0.0,7.0,21.79999999998563,0.0,7.0,-102.80000000000746,-572.5000000000227,8.0,236.20000000000255,-572.5000000000227,8.0,236.20000000000255,-572.5000000000227,8.0,236.20000000000255,-572.5000000000227,8.0,299.8499999999867,-197.8500000000131,8.0,638.8499999999967,-197.8500000000131,8.0
2024-02-22,-948.9500000000353,-948.9500000000353,7.0,-948.9500000000353,-948.9500000000353,7.0,-948.9500000000353,-948.9500000000353,7.0,-756.2500000000218,-756.2500000000218,7.0,-948.9500000000353,-948.9500000000353,7.0,-756.2500000000218,-756.2500000000218,7.0,888.9999999999363,-319.700000000008,8.0,888.9999999999363,-319.700000000008,8.0,888.9999999999363,-319.700000000008,8.0,1081.6999999999498,-319.700000000008,8.0,888.9999999999363,-319.700000000008,8.0,1081.6999999999498,-319.700000000008,8.0
2024-02-23,-1072.7000000000244,-1816.9000000000187,6.0,-1072.7000000000244,-1816.9000000000187,6.0,-1072.7000000000244,-1816.9000000000187,6.0,-631.9000000000115,-1816.9000000000187,6.0,-1072.7000000000244,-1816.9000000000187,6.0,-631.9000000000115,-1816.9000000000187,6.0,-1922.3499999999758,-1922.3499999999758,6.0,-1922.3499999999758,-1922.3499999999758,6.0,-1922.3499999999758,-1922.3499999999758,6.0,-1922.3499999999758,-1922.3499999999758,6.0,-1922.3499999999758,-1922.3499999999758,6.0,-1922.3499999999758,-1922.3499999999758,6.0
2024-02-26,-1622.2499999999554,-1622.2499999999554,6.0,-1622.2499999999554,-1622.2499999999554,6.0,-1622.2499999999554,-1622.2499999999554,6.0,-1267.4499999999553,-1267.4499999999553,6.0,-1380.1999999999607,-1380.1999999999607,6.0,-1025.3999999999605,-1025.3999999999605,6.0,-1504.7499999999663,-1504.7499999999663,7.0,-1504.7499999999663,-1504.7499999999663,7.0,-1504.7499999999663,-1504.7499999999663,7.0,-1149.9499999999662,-1149.9499999999662,7.0,-1055.899999999967,-1055.899999999967,6.0,-701.0999999999667,-701.0999999999667,6.0
