geo,lots,worst,maxDD,pass_pct,d_pass,d_res,breach,Ecash,trades
runner   r30 t4 s1.0,0.04,-730.5080000000028,-2.455685999999983,29.066265060240966,157.0,250.0,0.0,1240.6391999999837,4559.0
runner   r30 t4 s1.0,0.05,-913.1350000000034,-3.069607499999985,41.1144578313253,145.0,233.5,0.0,3377.9360843373397,4559.0
runner   r30 t4 s1.0,0.06,-1095.762000000004,-3.6835289999999796,43.52409638554217,145.0,219.5,0.0,4779.450871084353,4559.0
runner   r30 t4 s1.0,0.07,-1278.389000000005,-4.297450499999972,46.536144578313255,115.0,213.0,0.0,7057.918581927703,4559.0
runner   r30 t4 s1.0,0.08,-1461.0160000000055,-4.911371999999966,47.59036144578313,106.5,207.5,0.0,8852.405734939719,4559.0
runner   r30 t4 s1.0,0.09,-1643.6430000000062,-5.525293499999961,52.86144578313253,114.0,203.5,0.0,12340.100130722874,4559.0
runner   r30 t4 s1.0,0.1,-1826.2700000000068,-6.13921499999997,63.25301204819277,146.0,171.0,0.0,17924.564861445753,4559.0
runner   r30 t4 s1.0,0.11,-2008.8970000000077,-6.753136499999954,74.54819277108435,153.0,161.5,0.0,24366.906657831354,4559.0
runner   r30 t4 s1.0,0.12,-2191.524000000008,-7.367057999999959,74.84939759036145,146.0,154.0,0.0,27244.28485301208,4559.0
runner   r30 t4 s1.0,0.13,-2374.151000000009,-7.9809794999999575,75.6024096385542,137.0,144.0,0.0,30028.488303614453,4559.0
runner   r30 t4 s1.0,0.14,-2556.77800000001,-8.594900999999943,77.10843373493977,123.0,132.0,0.0,32175.632620481967,4559.0
runner   r30 t4 s1.0,0.15,-2739.40500000001,-9.208822499999927,78.01204819277109,114.0,125.5,0.0,34701.1660662651,4559.0
runner   r30 t4 s1.0,0.16,-2922.032000000011,-9.822743999999933,76.35542168674698,105.0,113.5,51.28205128205128,18997.041291566256,4559.0
runner   r30 t4 s1.0,0.17,-3104.659000000012,-10.43666549999993,78.6144578313253,102.0,111.0,52.68199233716475,20860.080851807274,4559.0
runner   r30 t4 s1.0,0.18,-3287.2860000000123,-11.050586999999922,80.72289156626506,102.0,112.0,53.73134328358209,22349.99610000007,4559.0
runner   r30 t4 s1.0,0.19,-3469.913000000013,-11.664508499999915,80.2710843373494,93.0,105.5,56.66041275797373,22273.158854819292,4559.0
runner   r30 t4 s1.0,0.2,-3652.5400000000136,-12.27842999999994,68.82530120481928,105.0,99.0,78.55579868708972,9921.214686747036,4559.0
runner   r30 t4 s1.0,0.21,-3835.1670000000145,-12.892351499999915,70.33132530120481,103.0,99.0,78.80085653104925,7499.09862108427,4559.0
runner   r30 t4 s1.0,0.22,-4017.7940000000153,-13.506272999999908,63.403614457831324,90.0,87.0,77.19714964370546,8087.700698795131,4559.0
runner   r30 t4 s1.0,0.23,-4200.421000000016,-14.120194499999911,66.56626506024097,89.0,82.0,78.28054298642535,9168.305584337279,4559.0
runner   r30 t4 s1.0,0.24,-4383.048000000016,-14.734115999999919,69.12650602409639,85.0,79.5,79.08496732026144,10091.305937349323,4559.0
runner   r30 t4 s1.0,0.25,-4565.6750000000175,-15.348037499999906,73.79518072289156,84.5,77.0,80.0,11254.74049698792,4559.0
runner   r30 t4 s1.0,0.26,-4748.302000000018,-15.961958999999915,75.15060240963855,82.0,75.0,80.16032064128257,12200.561053011996,4559.0
runner   r30 t4 s1.0,0.27,-4930.929000000018,-16.57588049999989,75.75301204819277,92.0,69.5,86.87872763419483,11033.089292168646,4559.0
runner   r30 t4 s1.0,0.28,-5113.55600000002,-17.189801999999887,71.3855421686747,102.0,64.5,86.07594936708861,11887.45328433731,4559.0
runner   r30 t4 s1.0,0.29,-5296.18300000002,-17.803723499999887,72.89156626506023,99.5,59.5,86.15702479338843,12633.217433132504,4559.0
runner   r30 t4 s1.0,0.3,-5478.81000000002,-18.417644999999855,77.40963855421687,89.5,58.0,86.7704280155642,13335.937590361405,4559.0
runner   r30 t4 s1.0,0.31,-5661.437000000022,-19.031566499999876,78.01204819277109,88.0,53.5,86.67953667953668,14053.963672891536,4559.0
runner   r30 t4 s1.0,0.32,-5844.064000000022,-19.645487999999865,76.6566265060241,87.0,50.5,92.73084479371316,13116.066949397577,4559.0
runner   r30 t4 s1.0,0.33,-6026.691000000023,-20.25940949999989,75.0,88.5,48.5,92.7710843373494,13688.517368674704,4559.0
runner   r30 t4 s1.0,0.34,-6209.318000000024,-20.87333099999986,75.0,88.0,45.5,92.9718875502008,14277.958279518069,4559.0
runner   r30 t4 s1.0,0.35,-6391.945000000024,-21.487252499999833,75.6024096385542,86.0,44.5,92.82868525896414,15017.466825301215,4559.0
runner   r30 t4 s1.0,0.36,-6574.572000000025,-22.101173999999844,75.15060240963855,84.0,43.0,92.58517034068137,15618.342361445812,4559.0
runner   r30 t4 s1.0,0.37,-6757.199000000026,-22.71509549999986,74.69879518072288,79.0,40.0,92.54032258064517,16255.08054457833,4559.0
runner   r30 t4 s1.0,0.38,-6939.826000000026,-23.32901699999983,60.24096385542169,94.0,37.0,91.0,4204.6809313254225,4559.0
runner   r30 t4 s1.0,0.39,-7122.453000000027,-23.942938499999833,59.48795180722891,95.0,36.0,91.13924050632912,4421.615931325427,4559.0
runner   r30 t4 s1.0,0.4,-7305.080000000027,-24.55685999999988,58.28313253012048,94.0,35.0,95.09043927648578,4146.541566265217,4559.0
max-net  r30 tNone s2.0,0.01,-315.0940000000011,-1.47050599999999,0.0,,250.0,0.0,0.0,4559.0
max-net  r30 tNone s2.0,0.02,-630.1880000000021,-2.94101199999998,0.0,,250.0,0.0,0.0,4559.0
max-net  r30 tNone s2.0,0.03,-945.2820000000032,-4.411517999999965,32.53012048192771,151.0,236.5,0.0,1407.089741566275,4559.0
max-net  r30 tNone s2.0,0.04,-1260.3760000000043,-5.88202399999996,38.704819277108435,146.0,212.0,0.0,3701.424493975949,4559.0
max-net  r30 tNone s2.0,0.05,-1575.4700000000055,-7.3525299999999465,43.674698795180724,135.5,203.5,0.0,6091.350644578372,4559.0
max-net  r30 tNone s2.0,0.06,-1890.5640000000064,-8.82303599999993,63.25301204819277,160.5,174.5,0.0,13771.158346988099,4559.0
max-net  r30 tNone s2.0,0.07,-2205.658000000008,-10.293541999999938,71.53614457831326,164.0,158.0,53.05263157894737,8644.33134819283,4559.0
max-net  r30 tNone s2.0,0.08,-2520.7520000000086,-11.76404799999992,66.41566265060241,173.0,146.0,55.78231292517006,7869.050983132578,4559.0
max-net  r30 tNone s2.0,0.09,-2835.84600000001,-13.23455399999991,68.07228915662651,163.0,137.5,54.424778761061944,9237.857877108476,4559.0
max-net  r30 tNone s2.0,0.1,-3150.940000000011,-14.705059999999893,61.74698795180723,149.5,123.0,59.26829268292683,8706.68413253015,4559.0
max-net  r30 tNone s2.0,0.11,-3466.0340000000124,-16.175565999999886,62.5,131.0,102.5,55.662650602409634,10419.36688192776,4559.0
max-net  r30 tNone s2.0,0.12,-3781.128000000013,-17.64607199999986,62.80120481927711,116.0,88.0,85.37170263788968,6876.326031325332,4559.0
max-net  r30 tNone s2.0,0.13,-4096.222000000014,-19.116577999999855,65.51204819277109,103.0,78.5,83.44827586206897,8249.067708433759,4559.0
max-net  r30 tNone s2.0,0.14,-4411.316000000016,-20.587083999999876,68.22289156626506,96.0,71.5,86.09271523178808,9193.481550602419,4559.0
max-net  r30 tNone s2.0,0.15,-4726.410000000017,-22.05758999999982,71.6867469879518,83.5,65.0,85.08403361344537,10411.892900602432,4559.0
max-net  r30 tNone s2.0,0.16,-5041.504000000017,-23.52809599999984,70.63253012048193,83.0,59.5,93.81663113006397,10332.989821686762,4559.0
max-net  r30 tNone s2.0,0.17,-5356.598000000019,-24.998601999999813,73.3433734939759,76.0,53.5,92.1971252566735,11344.855465662677,4559.0
max-net  r30 tNone s2.0,0.18,-5671.69200000002,-26.46910799999982,75.0,66.0,42.0,100.0,12503.031159036185,4559.0
max-net  r30 tNone s2.0,0.19,-5986.786000000021,-27.939613999999814,72.43975903614458,66.0,40.0,99.37629937629939,13358.53974397594,4559.0
max-net  r30 tNone s2.0,0.2,-6301.880000000022,-29.410119999999786,72.7409638554217,63.0,38.0,98.9648033126294,14287.532530120514,4559.0
max-net  r30 tNone s2.0,0.21,-6616.974000000023,-30.8806259999998,71.98795180722891,61.5,37.0,98.5355648535565,14961.039740963895,4559.0
max-net  r30 tNone s2.0,0.22,-6932.068000000025,-32.35113199999977,72.28915662650603,58.5,35.0,98.125,15848.491456626545,4559.0
max-net  r30 tNone s2.0,0.23,-7247.162000000025,-33.82163799999973,68.82530120481928,56.0,33.0,100.0,8149.236423493982,4559.0
max-net  r30 tNone s2.0,0.24,-7562.256000000026,-35.29214399999972,65.8132530120482,58.0,31.0,100.0,8518.465431325316,4559.0
max-net  r30 tNone s2.0,0.25,-7877.350000000029,-36.76264999999975,63.403614457831324,59.0,30.0,100.0,9251.145798192785,4559.0
max-net  r30 tNone s2.0,0.26,-8192.444000000029,-38.23315599999971,60.24096385542169,56.5,28.0,100.0,9484.318812048197,4559.0
max-net  r30 tNone s2.0,0.27,-8507.53800000003,-39.70366199999972,46.536144578313255,51.0,26.0,100.0,7172.439918072261,4559.0
max-net  r30 tNone s2.0,0.28,-8822.632000000032,-41.17416799999975,42.01807228915663,55.0,24.0,100.0,7605.937306024064,4559.0
max-net  r30 tNone s2.0,0.29,-9137.726000000031,-42.64467399999972,41.41566265060241,51.0,22.0,100.0,7742.829162048167,4559.0
max-net  r30 tNone s2.0,0.3,-9452.820000000034,-44.11517999999964,41.1144578313253,49.0,22.0,100.0,4325.182283132497,4559.0
max-net  r30 tNone s2.0,0.31,-9767.914000000035,-45.58568599999967,39.90963855421687,46.0,21.0,100.0,4312.313358433714,4559.0
max-net  r30 tNone s2.0,0.32,-10083.008000000034,-47.05619199999968,40.51204819277108,45.0,20.0,100.0,4548.649253012028,4559.0
max-net  r30 tNone s2.0,0.33,-10398.102000000037,-48.52669799999965,37.34939759036144,41.0,19.0,100.0,4436.724560240931,4559.0
max-net  r30 tNone s2.0,0.34,-10713.196000000038,-49.99720399999963,37.04819277108434,37.5,17.5,100.0,4649.8449771084115,4559.0
max-net  r30 tNone s2.0,0.35,-11028.290000000039,-51.467709999999634,36.74698795180723,34.0,16.0,100.0,4742.889891566235,4559.0
max-net  r30 tNone s2.0,0.36,-11343.38400000004,-52.93821599999964,30.72289156626506,23.0,14.0,100.0,3173.655534939747,4559.0
max-net  r30 tNone s2.0,0.37,-11658.478000000041,-54.40872199999958,28.915662650602407,23.0,14.0,100.0,3135.1341283132406,4559.0
max-net  r30 tNone s2.0,0.38,-11973.572000000042,-55.87922799999963,28.76506024096386,25.0,13.5,100.0,3146.07150602409,4559.0
max-net  r30 tNone s2.0,0.39,-12288.666000000043,-57.34973399999961,28.463855421686745,24.0,13.0,100.0,3165.5212228915534,4559.0
max-net  r30 tNone s2.0,0.4,-12603.760000000044,-58.82023999999957,28.162650602409638,23.0,13.0,100.0,3280.3692048192725,4559.0
