set,rng,tgt,stop,net_tr,pf_tr,dd_tr,net_ho,pf_ho,dd_ho,sh_ho,net_all,rdd_all,dd_all,sh_all,both
7h,60,2.0,1.0,4963.028999999977,1.1509651462053758,-1449.6479999999792,6333.7430000000095,1.2553846658792727,-1808.7259999999892,2.9154870667932222,11296.771999999986,6.245706646556802,-1808.7259999999815,2.059283465448769,True
7h,60,2.0,1.5,4361.57900000002,1.110413703273339,-1700.4484999999777,6188.193499999998,1.205041334268404,-1921.8199999999513,2.468339737241765,10549.772500000017,5.489469617342063,-1921.8199999999433,1.6820104276214543,True
7h,60,2.0,2.0,4248.609000000002,1.0977274471782155,-1536.1599999999803,7663.785000000014,1.2369932395658203,-1362.168999999963,3.1375155050567165,11912.394000000017,7.7546570669723005,-1536.1599999999803,1.9307782804297335,True
7h,60,3.0,1.0,4651.545000000012,1.1314211679523398,-1742.3529999999673,8527.033999999949,1.328502474641996,-1449.4880000000012,3.3701685890890443,13178.578999999962,6.419356300025783,-2052.9439999999736,2.0068624505037014,True
7h,60,3.0,1.5,3699.072500000044,1.0854812977045314,-2347.127499999971,8498.890499999958,1.265531475562797,-1533.8239999999555,2.9394564098569353,12197.963000000002,5.196975025856136,-2347.127499999971,1.6382405071422281,True
7h,60,3.0,2.0,3640.9810000000325,1.075921883835076,-2321.9109999999596,10960.26599999996,1.317868396107191,-847.2039999999997,3.8130536823307595,14601.246999999992,6.288461099499614,-2321.9109999999596,1.9551693833509503,True
7h,60,4.0,1.0,5330.666000000056,1.1468312756385528,-1638.2979999999607,9484.981999999953,1.3576965430269947,-1627.257000000016,3.4489265987477005,14815.648000000008,6.920690441223309,-2140.7759999999616,2.031029159827749,True
7h,60,4.0,1.5,4833.825000000088,1.1087118912962295,-2033.9734999999655,9687.211499999972,1.2946294978090989,-1864.3859999999745,3.0901322363648926,14521.03650000006,6.850804192562868,-2119.610499999968,1.7596047556991716,True
7h,60,4.0,2.0,4876.653000000092,1.0986413667775319,-2073.9699999999484,12662.010999999988,1.3585677149387434,-1003.2579999999871,3.9601538963972955,17538.66400000008,8.456565909825365,-2073.9699999999484,2.0796495382145177,True
7h,60,5.0,1.0,5671.106000000022,1.154031691258359,-1999.4119999999675,9760.540999999988,1.3649600420817474,-1284.6670000000086,3.2715259669253265,15431.64700000001,5.843401807058136,-2640.8669999999674,1.946480372170864,True
7h,60,5.0,1.5,5435.346000000031,1.1203060950005284,-2357.2354999999798,9904.730500000005,1.2973167357540396,-1471.446999999955,2.914763404908414,15340.076500000036,5.897184031781632,-2601.2544999999873,1.7126929240037465,True
7h,60,5.0,2.0,5473.928000000059,1.1087486240108335,-2258.4869999999764,12463.674000000012,1.3488782476000836,-1095.216000000004,3.5999230759893557,17937.60200000007,6.864273187143882,-2613.18299999998,1.9574335857625256,True
7h,60,99.0,1.0,6511.779999999999,1.1745284584001172,-2709.490999999978,9254.993999999986,1.343924607812351,-1336.8369999999986,2.761198998382221,15766.773999999985,5.3669099914050715,-2937.7749999999905,1.716607050325153,True
