,ORIGINAL,ORIGINAL,TUNED,TUNED
,close,trough,close,trough
xt,,,,
2025-01-17,-2261.749999999871,-2261.749999999871,-2223.24999999992,-2223.24999999992
2025-01-20,757.0000000001746,-299.89999999980864,626.2500000001146,-489.00000000004366
2025-01-21,1129.8500000000097,-2171.30000000003,3502.599999999981,-2330.000000000025
2025-01-22,-2531.4000000001,-2531.4000000001,-1848.550000000072,-2019.2000000000533
2025-01-23,-530.8999999999523,-1173.9999999998854,84.95000000006803,-1305.5999999999203
2025-01-24,-886.0499999999101,-1104.2999999998701,211.2500000001055,-351.4999999999036
2025-01-27,3599.099999999884,-1837.699999999977,191.44999999993706,-3083.099999999913
2025-01-28,-1363.9000000001724,-2444.300000000032,-2019.25000000006,-2705.8000000000648
2025-01-29,-1155.7500000001492,-1155.7500000001492,-945.2000000000717,-1509.549999999981
2025-01-30,661.400000000116,-1044.8999999999596,1702.5500000001064,-1422.4000000000233
2025-01-31,-2476.650000000087,-2476.650000000087,-2351.1000000000718,-2351.1000000000718
2025-02-03,5877.29999999999,-1614.5000000000582,2724.4000000000306,-3045.799999999996
2025-02-04,161.20000000012078,-1250.29999999989,-2307.250000000253,-2377.7000000002063
2025-02-05,7143.000000000233,-374.7999999999447,5430.750000000076,-1360.6000000000167
2025-02-06,1692.249999999989,-1693.6000000000297,-395.2999999999556,-1678.6000000000297
2025-02-07,-1921.300000000043,-3727.300000000054,-5674.7000000000335,-5674.7000000000335
2025-02-10,5975.400000000058,-120.0,7842.700000000055,-476.3000000000029
2025-02-11,-1856.6000000000497,-4310.900000000049,-3379.3499999999603,-5028.399999999965
2025-02-12,-3432.6499999999905,-4387.900000000031,-2120.949999999952,-3561.499999999985
2025-02-13,931.2000000001481,-2159.6999999999407,1893.8500000000624,-1005.1000000000295
2025-02-14,-3330.2999999999665,-3330.2999999999665,-361.84999999996217,-3445.0999999999312
2025-02-17,-710.5999999999549,-1197.7999999999884,-2055.949999999988,-3037.1500000000106
2025-02-18,3856.3999999999614,-273.19999999995343,4312.1499999999705,-1745.9999999999654
2025-02-19,-1949.2499999999163,-1949.2499999999163,-2420.950000000068,-2420.950000000068
2025-02-20,-2116.249999999969,-2614.299999999997,-2595.2499999998545,-2595.2499999998545
2025-02-21,-4675.049999999988,-4675.049999999988,-6406.849999999989,-6406.849999999989
2025-02-24,2285.449999999832,-915.4999999999854,-1500.0500000000593,-2838.2999999999884
2025-02-25,-145.30000000006658,-2315.3999999999487,7332.199999999781,-105.0
2025-02-26,-1808.9499999997552,-3010.1999999999844,127.70000000013715,-2462.299999999983
2025-02-27,6295.750000000111,-120.0,10598.20000000015,-90.0
2025-02-28,3379.8999999999287,-1122.00000000004,5178.500000000027,-1567.9000000000487
2025-03-03,-345.9499999999716,-2892.500000000029,-2541.0499999999997,-3580.100000000013
2025-03-04,6975.29999999981,-1046.1999999999516,1465.7999999997592,-2162.150000000027
2025-03-05,-3623.7499999999964,-4435.549999999977,-4976.100000000046,-5150.950000000032
2025-03-06,-1668.5499999999374,-1771.700000000037,-1118.6500000000287,-2642.400000000096
2025-03-07,166.74999999986176,-989.8499999999894,-3486.100000000108,-3761.450000000059
2025-03-10,-1687.7000000002008,-3775.9000000000415,-1170.0000000002583,-3258.200000000099
2025-03-11,5017.049999999766,-807.9999999999782,6220.249999999776,-873.9000000000069
2025-03-12,-402.050000000032,-2514.500000000009,-2345.850000000068,-3345.300000000017
2025-03-13,1389.250000000151,-1403.6499999998905,-343.1499999998814,-2080.2999999999174
2025-03-14,-1011.0000000001273,-2272.9999999999964,-4508.09999999988,-4508.09999999988
2025-03-17,264.7999999999447,-2300.3000000000884,-1451.800000000032,-2639.1000000000986
2025-03-18,5211.850000000026,-719.1999999999862,7357.649999999918,-1110.3499999999658
2025-03-19,-3455.7500000000127,-3455.7500000000127,-2383.8999999999523,-3779.549999999992
2025-03-20,2409.499999999911,-2279.30000000001,419.64999999990687,-2062.0000000000127
2025-03-21,5629.799999999636,-755.9000000003198,3663.649999999594,-105.0
2025-03-24,950.8999999999323,-1364.899999999987,-3525.350000000075,-3525.350000000075
2025-03-25,-1509.8500000000297,-2269.6000000000317,-435.8000000000666,-2376.100000000033
2025-03-26,-3167.2500000000364,-3365.2000000000444,-4469.79999999999,-4469.79999999999
2025-03-27,3259.249999999769,-120.0,5793.649999999905,-750.4999999999854
2025-03-28,-2195.800000000077,-3247.8500000000568,-1467.150000000087,-2960.900000000045
2025-03-31,1329.2000000000137,-835.8999999999942,-133.99999999997272,-4671.849999999957
2025-04-01,3405.7999999997937,-3168.850000000048,-2339.5000000001382,-5036.1000000000695
2025-04-02,-1600.1999999998825,-1600.1999999998825,-4239.8000000000175,-6376.300000000012
2025-04-03,18965.800000000258,-105.0,29155.20000000021,-90.0
2025-04-04,8554.899999999974,-733.1999999999898,-5237.349999999882,-5237.349999999882
2025-04-07,1289.1000000001404,-4627.699999999888,-3882.899999999956,-9346.799999999956
2025-04-08,-3507.500000000051,-5499.500000000029,-5098.449999999915,-7429.599999999911
2025-04-09,16594.849999999926,-1890.9999999999254,15673.799999999845,-2485.4999999999964
