param,side,entry_time,exit_time,entry_price,exit_price,range_pct,exit_reason,price_pnl,pnl,swap,net,year,date
h00_r30_t1,-1,1771462280000000000,1771466510000000000,4961.1455000000005,4976.5064999999995,0.30923606452263463,sl,-15.360999999998967,-30.861999999997934,0.0,-30.861999999997934,2026,2026-02-19
h01_r60_t3,1,1771466510000000000,1771484930000000000,4975.592500000001,5020.379500000001,0.3001836712267966,tp,44.78700000000026,89.43400000000052,0.0,89.43400000000052,2026,2026-02-19
h02_r15_t3,-1,1771467360000000000,1771472045000000000,4971.0645,4977.4805,0.12897857751463263,sl,-6.415999999999258,-12.971999999998516,0.0,-12.971999999998516,2026,2026-02-19
h04_r30_t3,1,1771475550000000000,1771476425000000000,4985.1115,4978.1155,0.14047655405953033,sl,-6.996000000000095,-14.13200000000019,0.0,-14.13200000000019,2026,2026-02-19
h05_r60_t2,1,1771480815000000000,1771495865000000000,4998.610500000001,4984.3145,0.28608011904263375,sl,-14.296000000000276,-28.732000000000554,0.0,-28.732000000000554,2026,2026-02-19
h06_r60_t3,1,1771484400000000000,1771493770000000000,5020.244500000001,4996.720499999999,0.4687533470461805,sl,-23.52400000000125,-47.1880000000025,0.0,-47.1880000000025,2026,2026-02-19
h13_r30_t3,-1,1771507835000000000,1771508010000000000,4974.592500000001,4987.9215,0.2673920965363851,sl,-13.328999999999724,-26.797999999999448,0.0,-26.797999999999448,2026,2026-02-19
h14_r15_t2,-1,1771510500000000000,1771512520000000000,4972.1605,4997.2855,0.5052310263127335,sl,-25.125,-50.39,0.0,-50.39,2026,2026-02-19
h00_r30_t1,1,1771548345000000000,1771549200000000000,4996.595499999999,5007.634499999998,0.22118199828185425,tp,11.03899999999885,21.9379999999977,0.0,21.9379999999977,2026,2026-02-20
h01_r60_t3,-1,1771552870000000000,1771567260000000000,4995.1314999999995,5015.005499999999,0.39769901284637044,sl,-19.873999999999796,-39.88799999999959,0.0,-39.88799999999959,2026,2026-02-20
h02_r15_t3,-1,1771556730000000000,1771566605000000000,4992.6945,5007.4205,0.29469195275444354,sl,-14.726000000000568,-29.592000000001136,0.0,-29.592000000001136,2026,2026-02-20
h04_r30_t3,1,1771561800000000000,1771567905000000000,4994.7305,5018.694499999998,0.1599411013089997,tp,23.963999999998123,47.787999999996245,0.0,47.787999999996245,2026,2026-02-20
h05_r60_t2,1,1771567200000000000,1771578810000000000,5011.9935000000005,5039.961500000001,0.2790107369452969,tp,27.968000000000757,55.79600000000151,0.0,55.79600000000151,2026,2026-02-20
h06_r60_t3,-1,1771572195000000000,1771577655000000000,5011.8735,5030.333500000001,0.36766349747770977,sl,-18.460000000000946,-37.06000000000189,0.0,-37.06000000000189,2026,2026-02-20
h13_r30_t3,1,1771594200000000000,1771594325000000000,5032.1044999999995,5023.6715,0.16768426204755318,sl,-8.432999999999083,-17.005999999998167,0.0,-17.005999999998167,2026,2026-02-20
h14_r15_t2,1,1771597885000000000,1771599780000000000,5047.3165,5037.1265,0.20206196401650403,sl,-10.1899999999996,-20.5199999999992,0.0,-20.5199999999992,2026,2026-02-20
h00_r30_t1,1,1771811100000000000,1771831570000000000,5166.9645,5129.744500000001,0.7222596364270607,sl,-37.219999999999345,-74.57999999999869,0.0,-74.57999999999869,2026,2026-02-23
h01_r60_t3,1,1771814240000000000,1771830205000000000,5168.029500000001,5140.2125,0.5393133908682558,sl,-27.817000000000917,-55.774000000001834,0.0,-55.774000000001834,2026,2026-02-23
h02_r15_t3,1,1771813005000000000,1771816345000000000,5167.273499999999,5156.7905,0.20312716626750613,sl,-10.482999999999265,-21.10599999999853,0.0,-21.10599999999853,2026,2026-02-23
h04_r30_t3,-1,1771823045000000000,1771857030000000000,5155.8385,5168.9395,0.25388794377219365,sl,-13.101000000000568,-26.342000000001136,0.0,-26.342000000001136,2026,2026-02-23
h05_r60_t2,-1,1771828175000000000,1771831565000000000,5152.398499999999,5132.804499999998,0.18992420769842433,tp,19.59400000000096,39.04800000000192,0.0,39.04800000000192,2026,2026-02-23
h06_r60_t3,-1,1771830000000000000,1771844180000000000,5144.985500000001,5161.9245,0.32916978925184354,sl,-16.938999999999396,-34.01799999999879,0.0,-34.01799999999879,2026,2026-02-23
h13_r30_t3,-1,1771855225000000000,1771856645000000000,5143.6585,5165.612499999999,0.426296352859354,sl,-21.953999999999724,-44.04799999999945,0.0,-44.04799999999945,2026,2026-02-23
h14_r15_t2,1,1771856100000000000,1771857870000000000,5157.4065,5188.982499999999,0.3061417309398424,tp,31.575999999999112,63.011999999998224,0.0,63.011999999998224,2026,2026-02-23
h00_r30_t1,-1,1771894800000000000,1771895265000000000,5217.5585,5196.779500000001,0.3975342126889259,tp,20.77899999999954,41.41799999999908,0.0,41.41799999999908,2026,2026-02-24
h02_r15_t3,-1,1771899465000000000,1771900425000000000,5166.657499999999,5181.699500000001,0.29079374493803006,sl,-15.04200000000128,-30.22400000000256,0.0,-30.22400000000256,2026,2026-02-24
h04_r30_t3,1,1771910475000000000,1771914905000000000,5174.9685,5161.1515,0.2671601888973548,sl,-13.817000000000007,-27.774000000000015,0.0,-27.774000000000015,2026,2026-02-24
h05_r60_t2,-1,1771914855000000000,1771941565000000000,5164.4105,5121.3485,0.4154567829721176,tp,43.0619999999999,85.9839999999998,0.0,85.9839999999998,2026,2026-02-24
h13_r30_t3,-1,1771939855000000000,1771941565000000000,5150.3855,5117.181500000002,0.2146525999524518,tp,33.203999999997905,66.26799999999581,0.0,66.26799999999581,2026,2026-02-24
h14_r15_t2,1,1771943800000000000,1771969980000000000,5127.7055,5144.427,0.6700977662591627,forced_close,16.72149999999965,33.3029999999993,0.0,33.3029999999993,2026,2026-02-24
h00_r30_t1,1,1771979470000000000,1771981540000000000,5149.853499999999,5163.053499999998,0.25677184683440496,tp,13.199999999998909,26.259999999997817,0.0,26.259999999997817,2026,2026-02-25
h01_r60_t3,1,1771985700000000000,1772056380000000000,5190.2675,5171.139,0.8891164035089846,forced_close,-19.128499999999804,-38.39699999999961,0.0,-38.39699999999961,2026,2026-02-25
h02_r15_t3,1,1771985700000000000,1771987855000000000,5189.4015,5176.4565,0.24948866387689794,sl,-12.944999999999709,-26.02999999999942,0.0,-26.02999999999942,2026,2026-02-25
h04_r30_t3,1,1771995730000000000,1772015535000000000,5185.3215,5172.0145,0.2567405983250177,sl,-13.306999999999789,-26.75399999999958,0.0,-26.75399999999958,2026,2026-02-25
h05_r60_t2,-1,1771999720000000000,1772037975000000000,5182.663500000001,5210.8755,0.5423344082173608,sl,-28.211999999999534,-56.56399999999907,0.0,-56.56399999999907,2026,2026-02-25
h06_r60_t3,-1,1772004400000000000,1772031980000000000,5182.398499999999,5201.9335,0.376059876201527,sl,-19.535000000000764,-39.21000000000153,0.0,-39.21000000000153,2026,2026-02-25
h13_r30_t3,1,1772026855000000000,1772029430000000000,5191.681,5181.0735,0.20297099027963322,sl,-10.607499999999163,-21.354999999998327,0.0,-21.354999999998327,2026,2026-02-25
h14_r15_t2,-1,1772028910000000000,1772030140000000000,5183.708500000001,5168.4985000000015,0.1466669713791037,tp,15.209999999999127,30.279999999998253,0.0,30.279999999998253,2026,2026-02-25
